magJ,name,radius,spectraltype,magB,magV,temperature,magK,mass,metallicity,magH,planets
12.195,HAT-P-52,0.893,,15.183,14.068,5131,11.621,0.887,0.280,11.745,1.0
12.468,HAT-P-53,1.209,,,11.73,5956,12.100,1.093,0.000,12.202,1.0
,HAT-P-54,0.617,,14.832,13.505,4390,,0.645,-0.127,,1.0
12.020,HAT-P-55,1.011,,13.871,13.207,5808,11.627,1.013,-0.030,11.714,1.0
10.068,HAT-P-56,1.428,,11.287,10.908,6566,9.830,1.296,,9.881,1.0
9.670,HAT-P-57 A,1.500,A8V,10.916,10.465,7500,9.433,1.47,-0.25,9.497,1.0
,HAT-P-57 B,,,,,,,0.61,,12.25,0.0
,HAT-P-57 C,,,,,,,0.53,,13.26,0.0
10.844,HAT-P-5,1.137,G,12.92,11.95,5960.0,10.481,1.163,0.24,10.522,1.0
,HAT-P-65,1.86,,13.81,13.16,5835.0,,1.212,0.1,,1.0
,HAT-P-66,1.881,,13.55,12.99,6002.0,,1.255,0.035,,1.0
,HAT-P-67,1.546,F,,10.11,6406.0,,1.642,-0.08,,1.0
9.558,HAT-P-6,1.46,F,10.88,10.47,6570.0,9.313,1.29,-0.13,9.440,1.0
9.555,HAT-P-7 A,2.02,F6,10.97,10.48,6310,9.334,1.59,0.32,9.344,1.0
16.117,HAT-P-7 B,,,,,3321,15.254,0.215,,15.231,0.0
9.214,HAT-P-8,1.475,F,10.77,10.36,6200.0,8.953,1.192,0.01,9.004,1.0
15.81,HAT-P-8 B,,M5V,,,3216,14.827,0.168,,14.675,0.0
16.37,HAT-P-8 C,,M6V,,,3058,15.400,0.131,,15.356,0.0
11.274,HAT-P-9,1.32,F,12.35,12.34,6350.0,11.015,1.28,0.12,11.04,1.0
11.866,HATS-10,1.105,,13.820,13.113,5880,11.511,1.101,0.15,11.568,1.0
,HATS-11,1.44,G0,14.657,14.018,6060.0,,1.0,-0.39,,1.0
,HATS-12,2.21,F,12.258,12.756,6408.0,,1.49,-0.1,,1.0
12.439,HATS-13,0.887,,14.686,13.887,5523,11.983,0.962,0.050,12.052,1.0
12.518,HATS-14,0.93,,13.820,13.79,5408,12.037,0.97,0.28,12.129,1.0
13.261,HATS-15,0.922,G9V,15.797,14.774,5311,12.724,0.871,0.000,12.806,1.0
12.652,HATS-16,1.238,G3V,14.477,13.834,5738,12.280,0.970,0.100,12.335,1.0
11.082,HATS-17,1.091,G,13.105,12.39,5846,10.698,1.131,0.300,10.837,1.0
,HATS-18,1.02,G,14.870,14.067,5600.0,,1.037,0.28,,1.0
,HATS-19,1.74,G0,,,5896.0,,1.303,0.24,,1.0
10.924,HATS-1,1.038,G2V,12.740,12.053,5870.0,10.58,0.986,-0.06,10.634,1.0
,HATS-20,0.892,G9V,,,5406.0,,0.91,0.03,,1.0
,HATS-21,1.021,G4V,,,5695.0,,1.08,0.3,,1.0
,HATS-22,0.689,,14.50,13.46,4803.0,,0.759,0.0,,1.0
,HATS-23,1.199,,,,5780.0,,1.121,0.28,,1.0
,HATS-24,1.172,,,,6346.0,,1.212,0.0,,1.0
,HATS-25,1.107,G,13.81,13.10,5715.0,,0.994,0.02,,1.0
,HATS-26,2.04,F,13.55,12.96,6071.0,,1.299,-0.02,,1.0
,HATS-27,1.74,F,,,6438.0,,1.415,0.09,,1.0
,HATS-28,0.922,G,,,5498.0,,0.929,0.01,,1.0
,HATS-29,1.073,G,,,5670.0,,1.032,0.16,,1.0
11.906,HATS-2,0.89,K,14.53,13.62,5227,11.386,0.88,0.15,11.475,1.0
,HATS-30,1.061,,,,5943.0,,1.093,0.06,,1.0
,HATS-31,1.87,,,13.11,6050.0,,1.275,0.0,,1.0
,HATS-32,1.097,,15.11,14.38,5700.0,,1.099,0.39,,1.0
,HATS-33,1.022,,,,5659.0,,1.062,0.29,,1.0
,HATS-34,0.98,,,,5380.0,,0.955,0.25,,1.0
,HATS-35,1.433,,,,6300.0,,1.317,0.21,,1.0
,HATS-36,1.186,G0V,,,5970.0,,1.135,0.13,,1.0
10.980,HATS-3,1.725,F,12.46,12.44,6351,10.694,1.300,-0.157,10.719,1.0
,HATS-43,0.812,K,,,5099.0,,0.837,0.05,,1.0
,HATS-44,0.847,K,,,5080.0,,0.86,0.32,,1.0
,HATS-45,1.315,F,,,6450.0,,1.272,0.02,,1.0
,HATS-46,0.853,G,,,5495.0,,0.917,-0.06,,1.0
12.032,HATS-4,0.925,,14.267,13.459,5403,11.612,1.001,0.43,11.697,1.0
11.199,HATS-5,0.871,,13.439,12.63,5304,10.703,0.936,0.19,10.772,1.0
12.046,HATS-6,0.570,,16.664,15.160,3724,11.224,0.574,0.2,11.397,1.0
11.528,HATS-7,0.815,K2,14.359,13.340,4985,10.976,0.849,0.250,11.085,1.0
13.098,HATS-8,1.086,,,14.03,5679,12.661,1.056,0.210,12.779,1.0
11.885,HATS-9,1.503,,14.080,13.276,5366,11.479,1.030,0.340,11.558,1.0
6.425,HD 100546,,B9Vne,6.71,6.70,10500,5.83,2.4,,5.96,2.0
5.039,HD 100655,9.3,G9III,7.468,6.45,4861.0,4.129,2.4,0.15,4.470,1.0
7.152,HD 100777,,K0,9.19,8.42,5582.0,6.735,1,0.27,6.804,1.0
6.246,HD 10180,1.109,G1V,7.95,7.32,5911,5.868,1.06,0.08,5.934,9.0
6.645,HD 101930,,K1 V,9.12,8.21,5079.0,6.147,0.74,0.17,6.26,1.0
6.224,HD 102117,1.27,G6V,8.20,7.47,5672.0,5.833,1.03,0.3,5.949,1.0
6.629,HD 102195,0.835,K0V,8.90,8.05,5291.0,6.151,0.926,0.05,6.268,1.0
6.895,HD 102272,10.1,K0,9.71,8.71,4908.0,6.259,1.9,0.26,6.402,2.0
6.049,HD 102329,6.3,K0,8.93,7.89,4830.0,5.402,1.30,0.3,5.526,2.0
3.931,HD 102365,,G2V,5.55,4.89,5650.0,3.489,0.85,-0.28,3.490,1.0
6.214,HD 102956,4.4,A,8.825,8,5054.0,5.663,1.68,0.19,5.767,1.0
7.916,HD 103197,,K1V,10.31,9.41,5303.0,7.426,0.9,0.21,7.600,1.0
7.838,HD 103720,0.73,K3 V,10.44,9.49,5017,7.283,0.794,-0.02,7.431,1.0
6.269,HD 103774,,F5V,7.61,7.12,6489,6.000,1.335,0.28,6.112,1.0
6.212,HD 104067,,K2V,8.897,7.93,4969.0,5.614,0.791,-0.06,5.754,1.0
6.158,HD 10442,,K2IV,8.77,7.84,5034,5.590,1.56,0.11,5.729,1.0
4.11,HD 104985,11,G9 III,6.819,5.797,4877,3.27,2.3,-0.15,3.55,1.0
6.30,HD 106252,1.09,G0,8.00,7.36,5754.0,5.93,0.96,-0.078,6.02,1.0
6.249,HD 106270,2.5,G5,8.319,7.58,5638,5.862,1.330,0.08,5.964,1.0
,HD 106315,1.18,F5V,9.402,8.951,6290.0,,1.07,-0.24,,2.0
4.79,HD 10647,1.1,F9V,6.05,5.52,6039.0,4.34,1.11,0.0,4.40,1.0
6.585,HD 106515 A,1.62,G5,8.79,7.35,,6.151,0.97,0.03,6.22,1.0
,HD 106906 A,,F5V,,8.11,,,1.34,,,0.0
,HD 106906 B,,F5V,,8.11,,,1.37,,,0.0
5.39,HD 10697,1.72,G5 IV,6.957,6.29,5641.0,4.601,1.15,0.1,4.678,1.0
6.858,HD 107148,,G5,8.72,8.01,5797.0,6.474,1.12,0.314,6.604,1.0
6.007,HD 108147,1.22,F8/G0 V,7.501,6.99,6067.0,5.721,1.19,0.18,5.832,1.0
7.863,HD 108341,0.79,K2 V,10.29,9.36,5122,7.326,0.843,0.04,7.458,1.0
6.022,HD 108863,5.6,K0,8.71,7.89,4956.0,5.392,1.85,0.20,5.516,1.0
7.48,HD 108874,1.22,G5,9.49,8.76,5407.0,7.06,1,0.14,7.11,2.0
7.570,HD 109246,1.02,G0V,9.42,8.77,5844.0,7.216,1.01,0.1,7.296,1.0
6.855,HD 109271,,G5V,8.71,8.05,5783,6.495,1.047,0.10,6.555,2.0
,HD 109749 A,,G3 IV,8.76,8.1,5610.0,,1.2,0.25,,1.0
,HD 109749 B,,,,,,,0.78,,,0.0
,HD 110014,20.9,K2III,5.904,4.66,4445.0,,2.09,0.14,,2.0
6.328,HD 111232,,G8V,8.29,7.61,5494.0,5.898,0.78,-0.36,5.975,1.0
5.187,HD 113337,1.5,F6V,6.397,6,,5.005,1.4,0.07,5.053,1.0
6.438,HD 113538,0.53,K9V,10.433,9.057,4462,5.637,0.585,-0.24,5.835,2.0
6.968,HD 114386,0.76,K3 V,9.80,8.73,4819.0,6.351,0.75,,6.497,2.0
3.64,HD 114613,,G4IV,5.55,4.85,5729,3.27,1.364,0.19,3.346,1.0
5.559,HD 114729 A,1.46,G3 V,7.31,6.69,,5.136,0.93,-0.22,5.29,1.0
,HD 114729 B,,M,,,,,0.253,,,0.0
6.14,HD 114762 A,1.24,F9V,7.85,7.3,5934.0,5.81,0.84,-0.71,5.89,1.0
,HD 114762 B,,M6V,,,,,0.1,,,0.0
6.025,HD 114783,0.78,K0,8.469,7.57,5105.0,5.475,0.853,0.33,5.62,2.0
6.508,HD 11506,1.33,G0V,8.11,7.51,6058.0,6.168,1.19,0.31,6.265,2.0
6.144,HD 116029,4.6,K1IV,8.89,7.89,4951,5.534,1.33,0.18,5.650,2.0
6.034,HD 117207,1.09,G7IV-V,7.98,7.25,5432,5.65,1.031,0.27,5.749,1.0
4.667,HD 11755,27.3,G5,8.11,6.88,4312.5,3.76,0.9,-0.74,3.931,1.0
6.098,HD 117618,1.19,G2V,7.77,7.18,5861.0,5.737,1.05,0.04,5.843,2.0
6.861,HD 118203,,K0,8.75,8.05,5600.0,6.543,1.23,0.1,6.608,1.0
,HD 11964 A,2.18,G5,7.25,6.42,,4.49,1.080,0.17,,2.0
8.413,HD 11964 B,,M0.0Ve,12.59,11.112,,7.597,0.67,,7.763,0.0
3.046,HD 11977,13,G5 III,5.614,4.7,4975.0,2.486,2.31,-0.16,2.594,1.0
4.091,HD 120084,9.12,G7III,6.901,5.910,4892,3.572,2.4,0.09,3.599,1.0
6.557,HD 121504,,G2 V,8.12,7.54,6075.0,6.124,1.18,0.16,6.224,1.0
3.080,HD 122430,22.9,K3III,6.827,5.48,4300.0,2.261,1.68,-0.09,2.373,1.0
5.996,HD 122562,,G5,8.70,7.69,4958,5.510,1.13,0.31,5.617,1.0
7.074,HD 12484,,F8,8.83,8.17,5920,6.706,1.01,0.05,6.782,1.0
7.097,HD 125595,,K4V,10.13,9.03,4908.0,6.447,0.756,0.02,6.608,1.0
,HD 125612,1.05,G3V,8.93,8.31,5897.0,,1.1,0.24,,3.0
5.302,HD 12648,9.2,G5,7.90,6.98,4835.8,4.743,1.2,-0.57,4.820,1.0
6.634,HD 126525,,G4V,8.529,7.85,5940.0,6.215,,,6.287,1.0
7.470,HD 126614 A,1.09,K0,9.662,8.787,5585,7.060,1.145,0.56,7.160,1.0
,HD 126614 B,,M V,,16.5,,,0.324,,,0.0
12.116,HD 126614 C,,M4-M5,,,,11.279,0.16,,,0.0
6.18,HD 12661,1.12,G6 V,8.16,7.44,5742.0,5.86,1.07,0.29,5.90,2.0
5.772,HD 128311,0.73,K0V,8.441,7.51,4965.0,5.142,0.828,0.08,5.30,2.0
,HD 128356,0.85,K3V,,8.26,4875.0,,0.65,0.17,,1.0
7.531,HD 129445,,G8V,9.57,8.8,5940.0,7.167,0.99,0.25,7.243,1.0
6.712,HD 130322,0.83,K0 V,8.82,8.05,5330.0,6.234,0.79,-0.02,6.315,1.0
,HD 131399 Aa1,,A1V,,,9300,,1.82,,,0.0
,HD 131399 Aa2,,,,,,,0.51,,,0.0
,HD 131399 B,,G,,,5700,8.5,0.96,,,0.0
,HD 131399 C,,K,,,4400,10.5,0.6,,,0.0
6.032,HD 131496,4.3,K2,8.828,7.96,4927.0,5.437,1.61,0.25,5.546,1.0
6.973,HD 131664,1.16,G3V,8.82,8.13,5886,6.647,1.10,0.32,6.727,1.0
,HD 13189,50.39,K2 II,9.04,7.57,5150.0,,4.5,,,1.0
7.250,HD 132406,,G0V,9.100,8.45,5885.0,6.870,1.09,0.18,6.985,1.0
,HD 132563 Aa,,,,8.966,6168,7.431,1.081,,,0.0
,HD 132563 Ab,,,,,,,0.49,,,0.0
7.73,HD 132563 B,,G,10.16,9.47,5985,7.49,1.010,-0.19,7.58,1.0
,HD 133131 A,,G2V,,8.46,5799.0,,0.95,-0.306,,2.0
,HD 133131 B,,G2,,8.413,5805.0,,0.93,-0.281,,1.0
5.214,HD 134060,,G0V,6.91,6.29,5940.0,4.836,,,5.022,2.0
5.591,HD 134606,,G6IV,7.61,6.85,5940.0,5.177,,,5.275,3.0
5.268,HD 134987,1.25,G5 V,7.168,6.45,5740.0,4.882,1.07,0.25,5.121,2.0
4.308,HD 136352,,G4V,6.28,5.65,5940.0,4.159,,,3.898,3.0
,HD 136418,3.4,G5,8.810,7.88,5071.0,,1.33,-0.07,,1.0
7.230,HD 137388,0.82,K0/K1V,9.59,8.71,5240.0,6.763,0.86,0.18,6.867,1.0
6.776,HD 13808,,K2V,9.232,8.38,5150.0,6.250,,,6.383,2.0
6.497,HD 13908,1.67,F8V,8.04,7.51,6255,6.210,1.29,0.01,6.251,2.0
6.452,HD 13931,1.23,G0 V,8.237,7.60,5829,6.139,1.022,0.03,6.234,1.0
4.180,HD 139357,11.47,K4III,7.168,5.98,4700,3.406,1.35,-0.13,3.593,1.0
5.890,HD 141399,1.46,K0,7.93,7.20,5600,5.499,1.07,0.35,5.598,4.0
6.127,HD 141937,1.06,G2/G3 V,7.87,7.25,5925.0,5.764,1.1,0.11,5.866,1.0
,HD 142022 A,0.705,G9V,8.47,7.7,5382.0,,0.99,0.19,,1.0
,HD 142022 B,,K7V,,,,,0.60,,,0.0
5.689,HD 142245,5.2,A,8.492,7.63,4878.0,5.110,1.69,0.23,5.232,1.0
6.235,HD 142415,1.03,G1 V,7.94,7.34,5834.0,5.892,1.09,0.21,5.99,1.0
,HD 142 A,1.43,G1 IV,6.22,5.7,6249,,1.15,0.04,,2.0
,HD 142 B,,G1 IV,,,,,0.59,,,0.0
5.795,HD 143105,,F5,7.27,6.75,6380,5.519,1.51,0.15,5.628,1.0
7.905,HD 143361,,G0V,9.93,9.2,5940.0,7.488,0.95,0.29,7.572,1.0
7.014,HD 145377,1.14,G3V,8.73,8.12,6046,6.706,1.12,0.12,6.797,1.0
5.000,HD 145457,9.9,K0,7.61,6.57,4757.0,4.122,1.9,-0.14,4.418,1.0
6.758,HD 145934,5.38,K0,9.54,8.49,,6.145,1.748,,6.234,1.0
5.329,HD 1461,1.095,G0V,7.14,6.46,5765,4.897,1.02,0.19,5.041,4.0
6.963,HD 147018,,G9V,9.07,8.3,5441.0,6.571,0.927,0.1,6.640,2.0
5.779,HD 147379,0.57,M0.0V,10.01,8.896,4090,4.953,0.58,0.16,5.136,1.0
6.908,EW Draconis,0.39,M3.0Ve,12.20,10.615,3516,6.066,0.40,0.10,6.300,0.0
4.41,HD 147513 A,1,G5V,5.973,5.37,,3.93,0.92,-0.03,4.03,1.0
,HD 147513 B,,DA2,,,,,0.65,,,0.0
,HD 147873,2.29,G1V,,,5972.0,,1.38,-0.03,,2.0
6.688,HD 148156,1.21,F8V,8.26,7.69,6308.0,6.397,1.22,0.29,6.489,1.0
5.299,HD 148427,3.22,K0IV,7.85,6.89,5052.0,4.682,1.45,0.154,4.875,1.0
7.118,HD 149026,1.497,G0IV,8.75,8.14,6147.0,6.819,1.3,0.36,6.899,1.0
,HD 149143,,G0 IV,8.56,7.9,5730.0,,1.1,0.26,,1.0
6.681,HD 1502,4.5,K0,9.290,8.52,5049.0,6.120,1.61,0.09,6.234,1.0
6.014,HD 150433,,G0,7.861,7.22,5940.0,5.610,,,5.715,1.0
5.89,HD 150706,0.87,G0,7.597,7.03,5741.0,5.565,0.94,-0.13,5.639,1.0
7.984,HD 152079,,G6V,9.91,9.18,5940.0,7.634,1.023,0.16,7.656,1.0
6.673,HD 152581,2.8,K0,9.251,8.54,5155.0,6.173,0.927,-0.46,6.244,1.0
6.313,HD 153950,1.34,F8V,7.90,7.39,6076,6.006,1.12,-0.01,6.078,1.0
5.225,HD 154088,,K0IV,7.411,6.58,5150.0,4.758,,,4.955,1.0
5.411,HD 154345,,G8V,7.50,6.74,5468,5.003,0.893,-0.105,5.098,1.0
7.013,HD 154672,1.27,G3IV,8.91,8.22,5714.0,6.612,1.06,0.26,6.699,1.0
,HD 154857,2.31,G5V,7.93,7.25,5508,,1.718,-0.31,,2.0
5.071,HD 155233,5.03,K1 III,7.836,6.813,4845,4.493,1.50,0.10,4.728,1.0
6.158,HD 155358,,G0,7.79,7.27,5900.0,5.808,0.92,-0.51,5.886,2.0
6.677,HD 156279,,K0,8.879,8.08,5453.0,6.269,0.930,0.14,6.346,2.0
5.563,HD 156411,2.16,F8IV/V,7.29,6.67,5900.0,5.170,1.25,-0.12,5.241,1.0
6.593,HD 156668,0.72,K3V,9.43,8.42,4850.0,6.004,0.772,0.05,6.117,1.0
5.52,HD 156846 A,2.12,G0,7.10,6.506,5969,5.17,1.35,0.17,5.24,1.0
,HD 156846 B,,M,,14.1,,,0.59,,,0.0
6.534,HD 157172,,G8.5V,8.637,7.86,5940.0,6.082,,,6.176,1.0
5.758,HD 158038,4.8,K0,8.515,7.64,4897.0,5.156,1.65,0.28,5.258,1.0
7.581,HD 159243,1.12,G0V,9.19,8.65,6123,7.297,1.125,0.05,7.351,2.0
5.941,HD 159868,,G5V,7.96,7.24,5395.0,5.535,1.09,,5.567,2.0
5.850,HD 1605,3.8,K1IV,8.55,7.52,4757,5.272,1.31,0.21,5.375,2.0
5.679,HD 16141 A,1,G5 IV,7.49,6.78,5533.0,5.266,1.01,0.02,5.35,1.0
9.27,HD 16141 B,,M2.5,,,,8.77,0.31,,10.062,0.0
6.166,HD 16175,1.87,G0,7.92,7.291,6022,5.853,1.34,0.37,5.922,1.0
7.175,HD 162020,0.71,K2 V,10.11,9.18,4830.0,6.539,0.75,0.01,6.649,1.0
,HD 163296,,A1V,6.93,6.85,,,2.3,,,2.0
6.648,HD 163607,1.63,G5IV,8.762,8.15,5543.0,6.271,1.09,0.21,6.342,2.0
4.60,HD 16417,,G1V,6.45,5.78,5936.0,4.246,1.18,0.19,4.18,1.0
6.938,HD 164509,1.06,G5V,8.723,8.24,5922.0,6.586,1.13,0.21,6.665,1.0
5.864,HD 164595,,G2V,7.72,7.08,5790,5.482,0.99,-0.04,5.539,1.0
7.784,HD 164604,,K2V,10.88,9.7,5150.0,7.169,0.8,-0.18,7.306,1.0
5.553,HD 164922,0.999,G9V,7.79,6.99,5293,5.113,0.874,0.16,5.203,2.0
,HD 165155,0.95,G8V,,9.36,5426.0,,1.02,0.09,,1.0
7.269,HD 1666,1.93,F7V,8.69,8.16,6317,6.964,1.50,0.37,7.063,1.0
7.752,HD 166724,,K0IV,10.20,9.31,5150.0,7.246,0.81,-0.09,7.414,1.0
3.933,HD 167042,4.30,K1 IV,6.89,5.97,5020.0,3.550,1.72,0.05,3.557,1.0
5.641,HD 168443,1.51,G5,7.62,6.92,5591.0,5.211,0.995,0.04,5.325,2.0
6.679,HD 168746,1.12,G5,8.66,7.95,5610.0,6.253,0.88,-0.06,6.329,1.0
6.877,HD 1690,16.7,K1III,10.515,9.17,4393.0,6.018,1.09,-0.32,6.229,1.0
4.974,HD 169830,1.84,F8 V,6.406,5.902,6300,4.688,1.410,0.21,4.778,2.0
7.047,HD 170469,1.22,G5IV,8.86,8.21,5810.0,6.707,1.14,0.3,6.779,1.0
5.530,HD 17092,,K0III,9.00,7.73,4650.0,4.807,2.3,0.18,5.007,1.0
6.990,HD 171028,1.95,G0,8.93,8.31,5663.0,6.604,0.99,-0.49,6.663,1.0
7.244,HD 171238,,KOV,9.41,8.66,5467.0,6.831,0.943,0.17,6.868,1.0
7.080,HD 17156,1.508,G0V,8.78,8.16,6079.0,6.807,1.275,0.24,6.857,1.0
4.580,HD 173416,13.5,G8,7.092,6.06,4683.0,3.814,2,,3.929,1.0
6.713,HD 175167,,G5 IV/V,8.78,9.18,5940.0,6.288,1.102,0.19,6.381,1.0
,HD 175370,23.5,K2 III,,,4301.0,,1.02,-0.52,,1.0
6.387,HD 175541,3.85,G8IV,8.90,8.03,5060.0,5.829,1.65,-0.07,5.952,1.0
7.280,HD 175607,0.70,G6V,9.31,8.61,5392,6.881,0.71,-0.62,6.928,2.0
,HD 176051 A,,F9V,5.83,5.277,,,1.07,,,0.0
,HD 176051 B,,K1V,8.894,7.84,,,0.71,,,1.0
5.367,HD 177830 A,2.99,K0IV,8.266,7.177,,4.809,1.47,0.55,4.95,2.0
,HD 177830 B,,M3.5V,,,,11.2,0.23,,11.6,0.0
5.55,HD 178911 B,1.14,G5,7.37,7.98,5650.0,5.21,1.07,0.28,5.29,1.0
,HD 178911 Aa,,G1,,,,,1.1,,,0.0
,HD 178911 Ab,,K1,,,,,0.79,,,0.0
6.734,HD 179079,1.48,G5IV,8.66,7.95,5724.0,6.311,1.087,0.29,6.402,1.0
5.296,HD 179949,1.19,F8 V,6.757,6.25,6260.0,4.936,1.28,0.22,5.10,1.0
4.892,HD 180314,9.2,K0,7.63,6.61,4917.0,4.312,2.6,0.2,4.489,1.0
5.583,HD 180617,0.453,M2.5V,10.63,9.115,3557,4.673,0.45,0.00,4.929,1.0
9.908,VB 10,,M8V,19.42,17.30,,8.765,0.0779,,9.226,1.0
6.121,HD 180902,4.1,K0III/IV,8.714,7.78,5030.0,5.543,1.52,0.04,5.670,1.0
5.853,HD 181342,4.6,K0III,8.566,7.55,5014.0,5.251,1.84,0.26,5.370,1.0
6.664,HD 181433,,K3IV,9.42,8.38,4962.0,6.094,0.78,0.33,6.243,3.0
6.652,HD 181720,,G1V,8.44,7.86,5781.0,6.294,0.92,-0.53,6.346,1.0
6.782,HD 183263,1.117,G2IV,8.51,7.86,5936,6.422,1.121,0.302,6.528,2.0
5.518,HD 185269 A,1.88,G0IV,7.238,6.683,5980,5.260,1.28,0.11,5.400,1.0
12.48,HD 185269 Ba,,,,,,,0.165,,,0.0
12.61,HD 185269 Bb,,,,,,,0.154,,,0.0
,HD 185603,1.561,A2V,,,8981.0,,2.0,-0.29,,1.0
6.190,HD 187085,,G0 V,7.78,7.22,6075.0,5.876,1.22,0.05,5.951,1.0
6.64,HD 187123,1.143,G5V,8.488,7.83,5815,6.34,1.037,0.121,6.39,2.0
6.177,HD 18742,4.9,K0,8.740,7.97,5048.0,5.554,1.60,-0.04,5.705,1.0
7.008,HD 188015 A,1.1,G5IV,8.95,8.22,,6.632,1.09,0.29,6.716,1.0
,HD 188015 B,,,,,,,0.21,,,0.0
5.108,HD 189567,,G2V,6.71,6.07,5940.0,4.511,,,4.724,1.0
6.073,HD 189733 A,0.788,K2V,8.578,7.68,4980.0,5.54,0.8,-0.03,5.587,1.0
,HD 189733 B,,M4,,,,,0.4,,,0.0
6.546,HD 190647,,G5,8.54,7.78,5628.0,6.161,1.1,0.24,6.251,1.0
7.671,HD 190984,1.53,F8V,9.27,8.76,5988.0,7.319,0.91,-0.48,7.389,1.0
6.966,HD 191806,,,8.71,8.08,6010,6.639,1.14,0.30,6.713,1.0
,HD 192263,0.75,K2 V,8.724,7.79,4965.0,,0.81,-0.2,,1.0
4.903,HD 192699,3.90,G8IV,7.290,6.44,5220.0,4.366,1.69,-0.15,4.360,1.0
5.60,HD 195019 A,1.38,G3 IV-V,7.530,6.91,,5.26,1.06,0.08,5.32,1.0
,HD 195019 B,,,,,,,0.70,,,0.0
,HD 195689,,A0,,,10170.0,,,,,1.0
,HD 196050 A,1.29,G3 V,8.16,7.5,5874.0,,1.17,0.23,,1.0
,HD 196050 Ba,,M3,,,,,0.29,,,0.0
,HD 196050 Bb,,M3.5,,,,,0.19,,,0.0
5.417,HD 196067,1.73,G0V,6.64,6.02,5940.0,5.080,1.29,0.18,5.207,1.0
5.414,HD 196885 A,1.79,F8V,6.92,6.4,6340.0,5.072,1.33,0.29,5.190,1.0
,HD 196885 B,,M1V,,,,,0.55,,,0.0
5.772,HD 197037 A,,F7V,7.31,6.813,6150,5.488,1.11,-0.20,5.568,1.0
,HD 197037 B,,,,,,,0.3412,,,0.0
,HD 19994 A,1.93,F8 V,5.63,5.07,,3.75,1.34,0.25,,1.0
,HD 19994 B,,M3V,,,,,0.35,,,0.0
7.087,HD 20003,,G8V,9.140,8.37,5940.0,6.647,,,6.764,2.0
4.802,HD 200964,4.3,K0,7.379,6.64,5164,4.286,1.44,-0.15,4.459,2.0
,HD 202206,1.02,G6 V,8.79,8.08,5750.0,,1.13,0.37,,2.0
5.325,HD 20367,1.18,G0,6.933,6.41,6128.0,5.039,1.04,0.1,5.117,1.0
7.912,HD 2039,1.21,G2/G3 IV-V,9.65,9.01,5947.0,7.549,0.98,0.1,7.652,1.0
6.812,HD 204313,,G5V,8.696,8.02,5776,6.459,1.02,0.18,6.539,3.0
6.895,HD 204941,0.72,K2V,9.39,8.45,5056.0,6.357,0.74,-0.19,6.475,1.0
7.585,HD 205739,1.33,F7V,9.09,8.56,6176.0,7.299,1.22,0.19,7.350,1.0
6.579,HD 206610,6.1,K0,9.38,8.34,4874.0,5.952,1.56,0.14,6.111,1.0
6.229,HD 20782,1.09,G1.5 V,8.03,7.38,5798,5.827,1.02,0.01,5.956,1.0
7.045,HD 20781,,G9.5V,9.263,8.44,5256,6.553,0.760,-0.11,6.642,2.0
7.587,HD 207832,0.901,G5V,9.48,8.79,5710.0,7.207,0.94,0.06,7.297,2.0
3.032,HD 20794,,G8V,4.97,4.26,5490.0,2.636,0.70,-0.40,2.709,3.0
,HD 208487,1.15,G2V,8.02,7.48,5929.0,,1.3,-0.06,,1.0
3.328,HD 208527,51.1,K5 V,8.060,6.4,3950,2.224,1.6,-0.09,2.537,1.0
8.138,HD 20868,0.79,K3/4 IV,11.07,9.93,4795,7.543,0.78,0.04,7.641,1.0
6.591,HD 209458,1.146,G0V,8.21,7.63,6075,6.308,1.148,0.02,6.37,1.0
5.275,HD 210277,1.1,G0,7.34,6.63,5532.0,4.799,1.09,0.19,4.96,1.0
4.508,HD 210702,5.1,K1 IV,6.885,5.939,4967,3.984,1.68,0.12,3.995,1.0
,HD 212301,,F8 V,8.31,7.77,5998.0,,1.05,0.18,,1.0
6.025,HD 212771,5,G8IV,8.48,7.6,5121.0,5.496,1.15,-0.21,5.578,1.0
,HD 213240 A,1.5,G0V,7.41,6.8,,,1.22,0.16,5.482,1.0
12.415,HD 213240 C,,M,,,,11.595,0.146,,,0.0
6.952,HD 214823,,G0V,8.68,8.078,6215,6.640,1.22,0.17,6.697,1.0
6.353,HD 215152,,K0,9.12,8.13,5150.0,5.775,,,5.895,2.0
5.458,HD 215456,,G0.5V,7.26,6.63,5940.0,5.098,,,5.207,2.0
7.339,HD 215497,,K3V,9.92,8.97,5113.0,6.784,0.87,0.23,6.917,2.0
5.008,HD 216435,2,G0 V,6.66,6.03,5767.0,4.612,1.3,0.244,4.687,1.0
5.01,HD 216437,1.1,G4 IV-V,6.697,6.06,5636.0,4.61,1.06,0.25,4.68,1.0
7.172,HD 216536,12.5,K0,10.42,9.23,4639,6.496,1.36,-0.17,6.636,1.0
6.752,HD 216770,1,K1 V,8.92,8.1,5248.0,6.311,0.9,0.23,6.429,1.0
6.607,HD 21693,,G9IV,8.715,7.94,5940.0,6.193,,,6.288,2.0
4.949,HD 217107,1.500,G8 IV,6.900,6.16,5704,4.536,1.108,0.389,4.765,2.0
6.685,HD 217786 A,1.27,F8V,8.360,7.779,5966,6.352,1.02,-0.135,6.416,1.0
,HD 217786 B,,,,,,,0.1622,,,0.0
6.824,HD 218566,0.86,K3V,9.641,8.628,4820.0,6.223,0.85,0.38,6.344,1.0
