period,name,eccentricity,description,discoverymethod,periastrontime,lastupdate,semimajoraxis,mass,periastron,list,discoveryyear
9.5521,HD 106315 b,0.3,Data for this planet was imported from the exoplanet.eu database.,,,17/01/17,0.09012,0.025,72.0,Confirmed planets,2017
21.0576,HD 106315 c,0.23,Data for this planet was imported from the exoplanet.eu database.,,,17/01/17,0.1526,0.063,106.0,Confirmed planets,2017
989.2,HD 10647 b,0.15,,RV,,12/11/29,2.015,0.94,212,Confirmed planets,2003
3630,HD 106515 A b,0.572,HD 106515A is part of a binary system. It also shows signs of a planetary companion. The star system is almost 11 billion years old.,RV,,12/11/29,4.59,9.61,123.8,Confirmed planets,2011
,HD 106906 b,,The binary star HD 106906 hosts a massive debris disk with an inner edge at 15-20 AU and an outer edge at 120 AU. New adaptive optics images from the Magellan telescope revealed a planetary mass companion far beyond the debris disk at 650 AU. Explaining the formation of such a wide companion is challenging.,imaging,,17/11/30,,12.3,,Confirmed planets,2013
1076.4,HD 10697 b,0.1,,RV,,10/10/19,2.16,6.38,,Confirmed planets,2000
48.056,HD 107148 b,0.05,,RV,,06/07/15,0.269,0.21,,Confirmed planets,2006
10.8985,HD 108147 b,0.53,,RV,,09/10/06,0.102,0.261,,Confirmed planets,2002
1129,HD 108341 b,0.85,Further data to be collected in August 2015 will result in more accurate parameters.,RV,,15/11/21,2,3.5,190,Confirmed planets,2014
443.4,HD 108863 b,0,The star HD 108863 hosts a Jupiter-like planet. It was discovered as part of a Doppler survey at the Keck Observatory.,RV,,12/07/24,1.40,2.6,,Confirmed planets,2011
395.4,HD 108874 b,0.07,,RV,,10/12/29,1.051,1.36,,Confirmed planets,2003
1605.8,HD 108874 c,0.25,,RV,,10/12/29,2.68,1.018,,Confirmed planets,2005
68.27,HD 109246 b,0.12,,RV,,10/06/28,0.33,0.77,,Confirmed planets,2010
7.8543,HD 109271 b,0.25,This planet was discovered with the European HARPS instrument. The system hosts at least two planetary companions. The architecture of this system is very similar to that of HD 698430. That might suggest that certain architectures are preferred in Nature.,RV,,13/01/14,0.079,0.054,-64,Confirmed planets,2013
30.93,HD 109271 c,0.15,This planet was discovered with the European HARPS instrument. The system hosts at least two planetary companions. The architecture of this system is very similar to that of HD 698430. That might suggest that certain architectures are preferred in Nature.,RV,,13/01/14,0.196,0.076,4,Confirmed planets,2013
5.24,HD 109749 A b,0.01,,RV,,10/12/23,0.0635,0.28,,Confirmed planets,2005
882.6,HD 110014 b,0.26,HD 110014 b is a planet in an eccentric orbit around a red giant star.,RV,2453739.4,15/05/24,2.31,10.7,47.72,Confirmed planets,2009
130.0,HD 110014 c,0.44,The planet HD 110014 c was discovered by the Reanalysis of Archival FEROS specTra (RAFT) program. The outer planet HD 110014 b was already known.,RV,2454031.3,15/05/24,0.64,3.1,307.6,Confirmed planets,2015
1143,HD 111232 b,0.2,,RV,,10/12/29,1.97,6.8,,Confirmed planets,2004
324,HD 113337 b,0.46,The planet HD 113337 b is orbiting a bright young F-type star. An IR excess has been attributed to a cold debris disk around the star. The planet has been found with the SOPHIE spectrograph on the 1.9m telescope at Observatoire de Haute-Provence.,RV,,13/10/10,0.92,2.83,-140.8,Confirmed planets,2013
663.2,HD 113538 b,0.14,These planet parameters have been derived from ten years of HARPS data.,RV,,15/11/21,1.24,0.36,74,Confirmed planets,2010
1818,HD 113538 c,0.2,These planet parameters have been derived from ten years of HARPS data.,RV,,15/11/21,2.44,0.93,280,Confirmed planets,2010
937,HD 114386 b,0.23,,RV,,14/03/05,1.65,1.24,,Confirmed planets,2003
1046,HD 114386 c,0.06,,RV,,11/09/13,,1.19,,Confirmed planets,2011
3827,HD 114613 b,0.25,HD 114613 b is a Jupiter analogue with a period of 10 years and a moderate eccentricity of 0.25. The planet was discovered by the Anglo-Australian Planet Search group.,RV,,14/01/25,5.16,0.48,244,Confirmed planets,2014
1135,HD 114729 A b,0.32,The planet HD 114720 A b is orbiting a Sun-like star approximately 114 light years away. It has a mass similar to Jupiter and was discovered by the California and Carnegie Planet Search.,RV,,12/12/08,2.08,0.84,,Confirmed planets,2002
83.9151,HD 114762 b,0.3354,,RV,,11/06/09,0.353,10.98,,Confirmed planets,1992
493.7,HD 114783 b,0.144,,RV,2453806,17/12/10,1.160,1.10,86,Confirmed planets,2001
4319,HD 114783 c,0,The planet HD 114783 c was discovered in a survey of long-period giant planets by Bryan et al. (2016),RV,2458112,17/12/10,4.92,0.611,6.5,Confirmed planets,2016
1627.5,HD 11506 b,0.37,The star HD 11506 is a yellow dwarf star in the constellation Cetus. The star hosts two planets. The inner planer was discovered by using Bayesian analysis (Tuomi et al 2009). The N2K campaign improves the data in 2014 with some further years of observations since the discovery.,RV,,14/11/19,2.708,4.21,,Confirmed planets,2007
223.6,HD 11506 c,0.24,The star HD 11506 is a yellow dwarf star in the constellation Cetus. The star hosts two planets. The inner planer was discovered by using Bayesian analysis (Tuomi et al 2009). The N2K campaign improves the data in 2014 with some further years of observations since the discovery.,RV,,14/11/19,0.721,0.36,,Confirmed planets,2009
670,HD 116029 b,0.054,The star HD 116029 hosts a Jupiter-like planet. It was discovered as part of a Doppler survey at the Keck Observatory.,RV,2455220,17/12/10,1.78,2.1,40,Confirmed planets,2011
907,HD 116029 c,0.038,The planet HD 116029 c was discovered in a survey of long-period giant planets by Bryan et al. (2016),RV,2455291,17/12/10,2.02,1.27,17.3,Confirmed planets,2016
2628,HD 117207 b,0.150,,RV,2453325,17/12/10,3.77,1.90,85,Confirmed planets,2004
433.7,HD 11755 b,0.19,This planet was detected by the Bohyunsan Optical Astronomy Observatory (BOAO) which searches for exoplanets at northern circumpolar stars.,RV,2457018.2,15/09/30,1.08,6.5,,Confirmed planets,2015
25.827,HD 117618 b,0.42,,RV,,09/10/06,0.176,0.178,,Confirmed planets,2004
318,HD 117618.02,0.00,The radial velocity data for HD 117618 is compatible with either a single eccentric planet or a two-planet system with lower eccentricities.,RV,,15/04/23,0.93,0.2,0,Controversial,2013
6.1335,HD 118203 b,0.309,,RV,,10/12/23,0.07,2.13,,Confirmed planets,2005
1956,HD 11964 A b,0.073,The planet hosting star HD 11964 A is a yellow subgiant in the constellation Cetus. It is a member of a wide binary.,RV,2454189,17/12/10,3.14,0.583,158,Confirmed planets,2005
37.910,HD 11964 A c,0.30,The planet hosting star HD 11964 A is a yellow subgiant in the constellation Cetus. It is a member of a wide binary.,RV,2454370,17/12/10,0.229,0.0788,102,Confirmed planets,2005
621.6,HD 11977 b,0.3,HD 11977 b was the first planet confirmed to be orbiting an intermediate-mass star.,RV,2452906.6,15/05/24,1.89,6.5,35.5,Confirmed planets,2005
2082,HD 120084 b,0.66,The planet HD 120084 b is on an eccentric orbit around a G7 star. It was discovered using the radial velocity method. The measurements were taken at the Okaya Astrophysical Observatory.,RV,,13/04/17,4.3,4.5,117,Confirmed planets,2013
63.33,HD 121504 b,0.03,,RV,,09/10/06,0.33,1.22,,Confirmed planets,2003
344.95,HD 122430 b,0.68,The planet candidate HD 122430 b was not confirmed in follow-up measurements (Soto et al. 2015),RV,,15/05/24,1.02,3.71,,Controversial,2003
2777,HD 122562 b,0.71,HD 122562 b is a massive planet or brown dwarf in an eccentric orbit around a G-type star.,RV,2455935,17/12/09,4.1,24,-53.9,Confirmed planets,2016
58.83,HD 12484 b,0.07,HD 12484 b is one of a batch of twelve planets identified by the SOPHIE search for northern extrasolar planets.,RV,,17/12/09,0.297,2.98,-35,Confirmed planets,2016
9.6737,HD 125595 b,0.0,,RV,,11/07/05,0.0809,0.042,,Confirmed planets,2009
502,HD 125612 b,0.46,The star HD 125612 is a metal rich yellow main sequence star in the constellation Virgo. It hosts at least 3 planets. All of them are on eccentric orbits.,RV,,10/12/06,1.37,3,,Confirmed planets,2007
4.1547,HD 125612 c,0.27,The star HD 125612 is a metal rich yellow main sequence star in the constellation Virgo. It hosts at least 3 planets. All of them are on eccentric orbits.,RV,,10/12/06,0.05,0.058,,Confirmed planets,2009
3008,HD 125612 d,0.28,The star HD 125612 is a metal rich yellow main sequence star in the constellation Virgo. It hosts at least 3 planets. All of them are on eccentric orbits.,RV,,10/12/06,4.2,7.2,,Confirmed planets,2009
133.6,HD 12648 b,0.04,This planet was detected by the Bohyunsan Optical Astronomy Observatory (BOAO) which searches for exoplanets at northern circumpolar stars.,RV,2452324.7,15/09/30,0.54,2.9,,Confirmed planets,2015
948.12,HD 126525 b,0.13,This planet is part of a large data release by the Euopean HARP team.,RV,,11/09/12,1.8105,0.224,,Confirmed planets,2011
1244,HD 126614 A b,0.41,,RV,2453808,16/03/09,2.35,0.38,243,Confirmed planets,2010
263.6,HD 12661 b,0.377,,RV,,11/01/04,0.83,2.3,,Confirmed planets,2000
1708,HD 12661 c,0.031,,RV,,11/01/04,2.56,1.57,,Confirmed planets,2002
460.1,HD 128311 b,0.30,This planetary system is most likely in a 2:1 mean motion resonance. The inner planet orbits the star exactly twice during one orbit of the outer planet. This is a very stable configuration. Mean motion resonances help us to understand the formation of multiplanteray systems. The existense of this resonance is a strong indication that interactions with the protoplanetary disk migrated the planets to their current positions. A detailed analysis of the HD 128311 system shows that there also had to be non-adiabatic effects during the migration phase such as a third planet (Sandor and Kley 2006) or turbulence in the protoplanetary disk (Rein and Papaloizou 2009).,RV,,15/01/08,,1.83,-76.2,Confirmed planets,2002
910.7,HD 128311 c,0.12,This planetary system is most likely in a 2:1 mean motion resonance. The inner planet orbits the star exactly twice during one orbit of the outer planet. This is a very stable configuration. Mean motion resonances help us to understand the formation of multiplanteray systems. The existense of this resonance is a strong indication that interactions with the protoplanetary disk migrated the planets to their current positions. A detailed analysis of the HD 128311 system shows that there also had to be non-adiabatic effects during the migration phase such as a third planet (Sandor and Kley 2006) or turbulence in the protoplanetary disk (Rein and Papaloizou 2009).,RV,,15/01/08,,3.20,-19.7,Confirmed planets,2005
298.2,HD 128356 b,0.57,Data for this planet was imported from the exoplanet.eu database.,RV,,16/04/02,0.87,0.89,84.0,Confirmed planets,2016
1840,HD 129445 b,0.7,,RV,,10/01/26,2.9,1.6,,Confirmed planets,2010
10.72,HD 130322 b,0.044,,RV,,10/12/08,0.088,1.02,,Confirmed planets,1999
200883.21,HD 131399 Ab,0.35,"The semi-major axis of this planet is closer relative to that of the outer binary of the hierarchical star system than for any known exoplanet within a stellar multiple, making HD 131399 dynamically unlike any other known system. Subsequent analysis by Nielsen et al. (2017) indicates that this object is a background star.",imaging,,17/12/09,80,4,,Controversial,2016
883,HD 131496 b,0.163,The star HD 131496 hosts a Jupiter-like planet. It was discovered as part of a Doppler survey at the Keck Observatory.,RV,,12/07/24,2.09,2.2,,Confirmed planets,2011
1951,HD 131664 b,0.638,"HD 131664 b was originally detected by radial velocity measurements, giving a minimum mass of 18.15 Jupiter masses. Using Hipparcos astrometry, the inclination and true mass have been determined, indicating that the object is either a massive brown dwarf or a low-mass star.",RV,,15/01/14,3.17,85.2,149.7,Controversial,
471.6,HD 13189 b,0.27,,RV,,10/12/29,1.85,14,,Confirmed planets,2005
974,HD 132406 b,0.34,,RV,,07/10/31,1.98,5.61,,Confirmed planets,2007
1544,HD 132563 B b,0.22,HD 132563B b is a planet in a triple star system. It is orbiting the solar type star HD 132563B which has a solar type companion HD 132563A orbiting at 400 AU. HD 132563A itself is yet another spectroscopic binary.,RV,,11/07/06,2.62,1.49,,Confirmed planets,2011
649.0,HD 133131 A b,0.32,Data for this planet was imported from the exoplanet.eu database.,RV,,16/08/24,1.44,1.43,,Confirmed planets,2016
3407.0,HD 133131 A c,0.47,Data for this planet was imported from the exoplanet.eu database.,RV,,16/08/24,4.36,0.48,,Confirmed planets,2016
6119.0,HD 133131 B b,0.62,Data for this planet was imported from the exoplanet.eu database.,RV,,16/08/24,,2.5,,Confirmed planets,2016
3.27,HD 134060 b,0.4,This planet is part of a large data release by the Euopean HARP team.,RV,,11/09/12,0.0444,0.0351,,Confirmed planets,2011
1160.9,HD 134060 c,0.75,This planet is part of a large data release by the Euopean HARP team.,RV,,11/09/12,2.2263,0.1507,,Confirmed planets,2011
12.083,HD 134606 b,0.15,This planet is part of a large data release by the Euopean HARP team.,RV,,11/09/12,0.1023,0.0292,,Confirmed planets,2011
59.519,HD 134606 c,0.29,This planet is part of a large data release by the Euopean HARP team.,RV,,11/09/12,0.2962,0.0382,,Confirmed planets,2011
459.26,HD 134606 d,0.46,This planet is part of a large data release by the Euopean HARP team.,RV,,11/09/12,1.1567,0.121,,Confirmed planets,2011
258.19,HD 134987 b,0.233,,RV,,09/12/15,0.81,1.59,,Confirmed planets,1999
5000,HD 134987 c,0.12,,RV,,09/12/15,5.8,0.82,,Confirmed planets,2009
11.577,HD 136352 b,0.18,This planet is part of a large data release by the Euopean HARP team.,RV,,11/09/12,0.0933,0.0166,,Confirmed planets,2011
27.582,HD 136352 c,0.16,This planet is part of a large data release by the Euopean HARP team.,RV,,11/09/12,0.1665,0.0358,,Confirmed planets,2011
106.72,HD 136352 d,0.43,This planet is part of a large data release by the Euopean HARP team.,RV,,11/09/12,0.411,0.03,,Confirmed planets,2011
464.3,HD 136418 b,0.255,,RV,,10/03/19,1.32,2,,Confirmed planets,2010
330,HD 137388 b,0.36,"HD 137388 b was found with the European High Accuracy Radial velocity Planet Searcher (HARPS) which can reach sub-meter-per-second precision. The planet orbits a K type star. HD 137388 appears in the literature as a binary system. However, according to Roell et al. (2012) the A and B components of HD 137388 have very different proper motions and are unlikely to be a physical binary system.",RV,,11/08/02,0.89,0.223,,Confirmed planets,2011
14.182,HD 13808 b,0.17,This planet is part of a large data release by the Euopean HARP team.,RV,,11/09/12,0.1017,0.0325,,Confirmed planets,2011
53.832,HD 13808 c,0.43,This planet is part of a large data release by the Euopean HARP team.,RV,,11/09/12,0.2476,0.036,,Confirmed planets,2011
19.382,HD 13908 b,0.046,HD 13908 b is a Hot Jupiter with an orbital period of 19 days. There is another planet in the system with a perdio of over 900 days. The system was discovered with the SOPHIE spectrograph in France.,RV,,13/11/22,0.154,0.865,185,Confirmed planets,2013
931,HD 13908 c,0.12,HD 13908 c is a planet with 5 times the mass of our Jupiter. The system HD 13908 also hosts a hot Jupiter with an orbital period of 19 days. The system was discovered with the SOPHIE spectrograph in France.,RV,,13/11/22,2.03,5.13,185,Confirmed planets,2013
4460,HD 13931 b,0.033,,RV,2453359,17/12/10,5.34,1.92,18,Confirmed planets,2010
1125.7,HD 139357 b,0.10,,RV,2452466.7,15/09/24,2.36,9.76,235.4,Confirmed planets,2009
94.44,HD 141399 b,0.04,A four planet system. Found with the radial velocity datasets from Keck-HIRES and from Lick Observatory's new Automated Planet Finder Telescope and Levy Spectrometer on Mt. Hamilton,RV,,17/12/09,0.415,0.451,-90,Confirmed planets,2014
210.99,HD 141399 c,0.048,A four planet system. Found with the radial velocity datasets from Keck-HIRES and from Lick Observatory's new Automated Planet Finder Telescope and Levy Spectrometer on Mt. Hamilton.,RV,,17/12/09,0.689,1.33,-140,Confirmed planets,2014
1069.8,HD 141399 d,0.074,A four planet system. Found with the radial velocity datasets from Keck-HIRES and from Lick Observatory's new Automated Planet Finder Telescope and Levy Spectrometer on Mt. Hamilton.,RV,,17/12/09,2.09,1.18,-140,Confirmed planets,2014
5000,HD 141399 e,0.26,A four planet system. Found with the radial velocity datasets from Keck-HIRES and from Lick Observatory's new Automated Planet Finder Telescope and Levy Spectrometer on Mt. Hamilton.,RV,,17/12/09,5.0,0.66,-10,Confirmed planets,2014
653.22,HD 141937 b,0.41,,RV,,10/12/29,1.52,9.7,,Confirmed planets,2002
1928,HD 142022 A b,0.53,The binary star system HD 142022 is located in the southernmost constellation of Octans. A planet has been discovered in orbit around the primary star.,RV,,12/12/08,3.03,5.1,,Confirmed planets,2005
1299,HD 142245 b,0,The star HD 142245 hosts a Jupiter-like planet. It was discovered as part of a Doppler survey at the Keck Observatory.,RV,,11/08/23,2.77,1.9,,Confirmed planets,2011
386.3,HD 142415 b,0.5,,RV,,10/12/29,1.05,1.62,,Confirmed planets,2003
349.7,HD 142 A b,0.17,"The planet HD 142 A b is orbiting a G type star which is part of a binary. A second planet in the system has been discovered. After the discovery of the second planet, the reported eccentricity of the first planet changed significantly. This system is an example of how multiple-planet systems can masquerade as moderately eccentric single-planet systems.",RV,,12/12/04,1.02,1.25,,Confirmed planets,2001
6005,HD 142 A c,0.21,"This planet was discovered by the Anglo-Australian Planet Search. It is orbiting a star previously known to host one planet. The star also has a stellar companion. After the discovery of the second planet, the reported eccentricity of the first planet changed significantly. This system is an example of how multiple-planet systems can masquerade as moderately eccentric single-planet systems.",RV,,12/12/04,6.8,5.3,,Confirmed planets,2012
2.1974,HD 143105 b,,HD 143105 b is one of a batch of twelve planets identified by the SOPHIE search for northern extrasolar planets.,RV,,17/12/09,0.0379,1.21,,Confirmed planets,2016
1057,HD 143361 b,0.15,,RV,,09/05/20,2,3.12,,Confirmed planets,2008
103.95,HD 145377 b,0.307,,RV,2454635.4,15/11/17,0.45,5.76,138.1,Confirmed planets,2008
176.3,HD 145457 b,0.112,,RV,,10/05/18,0.76,2.9,,Confirmed planets,2010
2730,HD 145934 b,0.053,This 2 Jupiter mass planet is in a 7.5 year orbit around a giant star.,RV,2451430,15/08/15,4.6,2.28,215,Confirmed planets,2015
5.77152,HD 1461 b,,,RV,,17/12/23,0.0634,0.02026,,Confirmed planets,2009
13.5052,HD 1461 c,,This planet is part of a large data release by the Euopean HARP team.,RV,,17/12/23,0.1117,0.01759,,Confirmed planets,2016
446,HD 1461 d,0,"A planet candidate in a ~450-day orbit was announced by Rivera et al. (2010). This planet was not confirmed by follow-up studies, and according to Díaz et al. (2016) the signal may be due to incomplete sampling of the stellar activity cycle. This planet candidate was originally designated HD 1461 c, however this designation was subsequently used for the 13.5-day planet. The Extrasolar Planets Encyclopaedia uses the designation HD 1461 d to refer to this planet.",RV,,17/12/23,1.151,0.08778,,Controversial,2009
5017,HD 1461 e,0,"A planet candidate in a ~5000-day orbit was announced by Rivera et al. (2010). This planet was not confirmed by follow-up studies, and according to Díaz et al. (2016) the signal may be due to incomplete sampling of the stellar activity cycle. This planet candidate was originally designated HD 1461 d, however due to the use of HD 1461 c for the 13.5-day planet, the Extrasolar Planets Encyclopaedia uses the designation HD 1461 e to refer to this planet.",RV,,17/12/23,5.78,0.2740,,Controversial,2009
44.236,HD 147018 b,0.4686,,RV,,09/08/12,0.2388,2.12,,Confirmed planets,2009
1008,HD 147018 c,0.133,,RV,,09/08/12,1.922,6.56,,Confirmed planets,2009
86.54,HD 147379 b,0.01,HD 147379 b is a Neptune-sized planet orbiting in the temperate zone of an early-M dwarf.,RV,,17/12/22,0.3193,0.07771,93,Confirmed planets,2017
528.4,HD 147513 A b,0.26,"The star system HD 147513, also known as HR 6094, consists of a Sun-like star, a white dwarf stellar remnant and a Jupiter-mass planet. The planet was discovered on 18 June 2002.",RV,,12/12/08,1.32,1.21,,Confirmed planets,2003
116.596,HD 147873 b,0.207,Data for this planet was imported from the exoplanet.eu database.,RV,,16/04/02,0.522,5.14,80.0,Confirmed planets,2016
491.54,HD 147873 c,0.23,Data for this planet was imported from the exoplanet.eu database.,RV,,16/04/02,1.36,2.3,42.0,Confirmed planets,2016
1010,HD 148156 b,0.52,,RV,,10/09/09,2.45,0.85,,Confirmed planets,2009
331.5,HD 148427 b,0.16,,RV,,09/08/13,0.93,0.96,,Confirmed planets,2009
2.8758916,HD 149026 b,0.0,,transit,,12/07/05,0.04288,0.356,,Confirmed planets,2005
4.088,HD 149143 b,0.0,,RV,,10/12/23,0.052,1.36,,Confirmed planets,2005
431.8,HD 1502 b,0.101,The star HD 1502 hosts a Jupiter-like planet. It was discovered as part of a Doppler survey at the Keck Observatory. Special thanks goes to Andrew from the Punahou School in Hawaii who pointed out an error in the spectral classification.,RV,,12/07/24,1.31,3.1,,Confirmed planets,2011
1096.2,HD 150433 b,0.0,This planet is part of a large data release by the Euopean HARP team.,RV,,11/09/12,1.9303,0.168,,Confirmed planets,2011
5894,HD 150706 b,0.38,,RV,,12/05/25,6.7,2.71,,Confirmed planets,2002
2097,HD 152079 b,0.6,,RV,,10/01/26,3.2,3,,Confirmed planets,2010
689,HD 152581 b,0,The star HD 152581 hosts a Jupiter-like planet. It was discovered as part of a Doppler survey at the Keck Observatory.,RV,,12/07/24,1.48,1.5,,Confirmed planets,2011
499.4,HD 153950 b,0.34,,RV,2454502,15/11/17,1.28,2.73,308.2,Confirmed planets,2008
18.596,HD 154088 b,0.38,This planet is part of a large data release by the Euopean HARP team.,RV,,11/09/12,0.1316,0.0193,,Confirmed planets,2011
3267,HD 154345 b,0.038,,RV,2455278,17/12/10,4.15,1.15,341,Confirmed planets,2006
163.91,HD 154672 b,0.61,,RV,,09/05/20,0.6,5.02,,Confirmed planets,2008
408.6,HD 154857 b,0.46,HD 114613 b is a Jupiter-mass planet in a multiplanery system. A stability analysis shows that the system is stable for at least 100 million years. The planet was discovered by the Anglo-Australian Planet Search group.,RV,,14/01/25,1.291,2.24,57,Confirmed planets,2004
3452,HD 154857 c,0.06,HD 154857 c is a Jupiter analogue with a period of 9.5 years. The planet is part of a multi-planetary system and was discovered by the Anglo-Australian Planet Search group.,RV,,14/01/25,5.36,2.58,352,Confirmed planets,2014
885,HD 155233 b,0.03,HD 155233 b is a giant planet orbiting a giant star and was found by the Pan-Pacific Planet Search.,RV,2455112,15/10/25,2.07,2.0,95,Confirmed planets,2015
194.3,HD 155358 b,0.17,,RV,,12/02/04,0.64,0.85,,Confirmed planets,2007
391.9,HD 155358 c,0.16,,RV,,12/02/04,1.02,0.82,,Confirmed planets,2007
131.05,HD 156279 b,0.708,,RV,2455525.59,17/12/10,0.495,9.71,-95.8,Confirmed planets,2011
4191,HD 156279 c,0.231,The planet HD 156279 c was discovered in a survey of long-period giant planets by Bryan et al. (2016),RV,2455912,17/12/10,4.97,8.60,101.0,Confirmed planets,2016
842.2,HD 156411 b,0.22,,RV,,10/09/08,1.88,0.74,,Confirmed planets,2009
4.646,HD 156668 b,0.0,,RV,,10/05/24,0.05,0.0131,,Confirmed planets,2010
359.5546,HD 156846 b,0.84785,"Reffert & Quirrenbach (2011) derive a best-fit inclination of 177.8° giving a true mass of 263 Jupiter masses. While the 3-sigma error region allows inclinations from 2° to 178.8°, the highest probability density is for nearly face-on orbits.",RV,,14/11/06,1.096,263.0,51.62,Controversial,2008
104.84,HD 157172 b,0.46,This planet is part of a large data release by the Euopean HARP team.,RV,,11/09/12,0.416,0.12,,Confirmed planets,2011
521,HD 158038 b,0.291,The star HD 158038 hosts a Jupiter-like planet. It was discovered as part of a Doppler survey at the Keck Observatory.,RV,,12/07/24,1.48,1.8,,Confirmed planets,2011
12.620,HD 159243 b,0.02,"The HD 159243 system contains two planets, one of which (HD 159243 b) is a hot Jupiter with an orbital period of 12.6 days. The system was discovered with the SOPHIE spectrograph in France.",RV,,13/11/22,0.11,1.13,223,Confirmed planets,2013
248.4,HD 159243 c,0.075,"The HD 159243 system contains two planets, one of which (HD 159243 b) is a hot Jupiter with an orbital period of 12.6 days. The system was discovered with the SOPHIE spectrograph in France.",RV,,13/11/22,0.8,1.9,69,Confirmed planets,2013
1178.4,HD 159868 b,0.01,A second planet in this system has been discovered in 2012 by the Anglo-Australian Planet Search.,RV,,12/05/15,2.25,2.1,,Confirmed planets,2007
352.3,HD 159868 c,0.15,"This planet was discovered by the Anglo-Australian Planet Search. It is orbiting a star previously known to host one planet. After the discovery of the second planet, the reported eccentricity of the first planet changed significantly. This system is an example of how multiple-planet systems can masquerade as moderately eccentric single-planet systems.",RV,,12/05/15,1,0.73,,Confirmed planets,2012
577.9,HD 1605 b,0.078,This planet was detected from a radial velocity (RV) survey of metal-rich FGK stars by using three telescopes.,RV,2453443.3,15/03/26,1.48,0.96,,Confirmed planets,2015
2111,HD 1605 c,0.098,This planet was detected from a radial velocity (RV) survey of metal-rich FGK stars by using three telescopes.,RV,2454758.3,15/03/26,3.52,3.48,,Confirmed planets,2015
75.82,HD 16141 A b,0.28,The planet HD16141 was the first known planet with a minimum mass less than that of Saturn. The star has a stellar companion at a projected distance of 223 astronomical units.,RV,,12/12/04,0.35,0.215,,Confirmed planets,2000
995.4,HD 16175 b,0.637,HD 16175 b is an eccentric giant planet whose orbit crosses the habitable zone.,RV,2455801.4,17/11/27,2.148,4.77,221.5,Confirmed planets,2007
8.428198,HD 162020 b,0.277,,RV,,10/12/29,0.074,14.4,,Confirmed planets,2002
,HD 163296 b,,Data for this planet was imported from the exoplanet.eu database.,,,16/12/16,105.0,0.3,,Confirmed planets,2016
,HD 163296 c,,Data for this planet was imported from the exoplanet.eu database.,,,16/12/16,160.0,0.3,,Confirmed planets,2016
75.229,HD 163607 b,0.73,HD 163607 is a metal-rich G star with two planets. The inner planet has the largest eccentricity of any known planet in a muli-planet system.,RV,,11/09/15,0.36,0.77,,Confirmed planets,2011
1314,HD 163607 c,0.12,HD 163607 is a metal-rich G star with two planets. The inner planet has the largest eccentricity of any known planet in a muli-planet system.,RV,,11/09/15,2.42,2.29,,Confirmed planets,2011
17.24,HD 16417 b,0.2,,RV,,09/02/25,0.14,0.069,,Confirmed planets,2009
282.4,HD 164509 b,0.26,HD 164509 is a metal rich G5V star with at least one planet. A linear trend in the RV residuals suggest the existance of an additional planet.,RV,,11/09/15,0.875,0.48,,Confirmed planets,2011
40.00,HD 164595 b,0.088,"As part of a dedicated radial velocity survey devoted to search for low-mass planets around a sample of 190 bright solar-type stars in the northern hemisphere, the SOPHIE search for northern extrasolar planets reports the detection of this warm Neptune.",RV,2456280,15/06/29,0.23,0.051,,Confirmed planets,2015
606.4,HD 164604 b,0.24,,RV,,10/01/26,1.13,2.7,,Confirmed planets,2010
1201.1,HD 164922 b,0.126,HD 164922 b is a Saturn-mass planet orbiting a late G-type star.,RV,,17/11/27,2.115,0.33855,129,Confirmed planets,2006
75.765,HD 164922 c,0.22,HD 164922 c is a temperate Neptune planet discovered in a system already known to host an outer Saturn-mass planet.,RV,,17/11/27,0.3351,0.04059,81,Confirmed planets,2016
434.5,HD 165155 b,0.2,Data for this planet was imported from the exoplanet.eu database.,RV,,16/04/02,1.13,2.89,211.0,Confirmed planets,2016
270.0,HD 1666 b,0.63,This planet was detected from a radial velocity (RV) survey of metal-rich FGK stars by using three telescopes. This eccentric and massive planet with its values can be explained as a result of planet-planet interactions among Jovian planets.,RV,2453526.3,15/03/26,0.94,6.43,,Confirmed planets,2015
5144,HD 166724 b,0.734,,RV,,12/11/29,5.42,3.53,202,Confirmed planets,2011
420.77,HD 167042 b,0.089,HD 167042 b is a giant planet orbiting a subgiant star.,RV,2454230.1,15/09/20,1.32,1.70,85.7,Confirmed planets,2007
58.11247,HD 168443 b,0.52883,,RV,,11/09/26,0.2931,7.659,,Confirmed planets,1998
1749.83,HD 168443 c,0.2113,,RV,,11/09/26,2.8373,17.193,,Confirmed planets,2001
6.403,HD 168746 b,0.081,,RV,,10/12/29,0.065,0.23,,Confirmed planets,2002
533,HD 1690 b,0.64,,RV,,10/12/20,1.3,6.1,,Confirmed planets,2010
225.62,HD 169830 b,0.31,,RV,2451923,17/12/10,0.81,2.88,148,Confirmed planets,2000
1834.3,HD 169830 c,0,,RV,2455350,17/12/10,3.29,3.54,95.7,Confirmed planets,2003
1145,HD 170469 b,0.11,,RV,,07/10/31,2.24,0.67,,Confirmed planets,2007
359.9,HD 17092 b,0.166,,RV,,07/05/07,1.29,4.6,,Confirmed planets,2007
550,HD 171028 b,0.59,,RV,,10/11/10,1.32,1.98,,Confirmed planets,2007
1523,HD 171238 b,0.4,,RV,,09/08/12,2.54,2.6,,Confirmed planets,2009
21.2163979,HD 17156 b,0.6768,,transit,,12/04/08,0.1623,3.191,,Confirmed planets,2007
323.6,HD 173416 b,0.21,,RV,,09/01/12,1.16,2.7,,Confirmed planets,2009
