mass,description,periastrontime,semimajoraxis,discoveryyear,list,eccentricity,period,discoverymethod,lastupdate,periastron,name
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,46.877936700,transit,16/05/10,,Kepler-1060 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.757982670,transit,16/05/10,,Kepler-1061 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,9.304120780,transit,16/05/10,,Kepler-1062 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,14.079714660,transit,16/05/10,,Kepler-1063 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,16.540803220,transit,16/05/10,,Kepler-1064 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,3.609308910,transit,16/05/10,,Kepler-1065 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.370307430,transit,16/05/10,,Kepler-1065 c
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,1.931559840,transit,16/05/10,,Kepler-1066 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,0.762129260,transit,16/05/10,,Kepler-1067 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,16.923441130,transit,16/05/10,,Kepler-1068 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,23.899029600,transit,16/05/10,,Kepler-1069 b
0.032841,This planet has been discovered by the Kepler spacecraft. It was confirmed using a combination of high resolution imaging and spectroscopy and Doppler spectroscopy. This analysis pushes the false probability below 1 percent and puts contraints on the planet's size and mass.,,,2014,Confirmed planets,,13.5708,transit,14/02/24,,Kepler-106 c
0.035137,This planet has been discovered by the Kepler spacecraft. It was confirmed using a combination of high resolution imaging and spectroscopy and Doppler spectroscopy. This analysis pushes the false probability below 1 percent and puts contraints on the planet's size and mass.,,,2014,Confirmed planets,,43.8445,transit,14/02/24,,Kepler-106 e
,This planet has been discovered by the Kepler spacecraft. It was confirmed using a combination of high resolution imaging and spectroscopy and Doppler spectroscopy. This analysis pushes the false probability below 1 percent and puts contraints on the planet's size and mass.,,,2014,Confirmed planets,,6.16486,transit,14/02/24,,Kepler-106 b
,This planet has been discovered by the Kepler spacecraft. It was confirmed using a combination of high resolution imaging and spectroscopy and Doppler spectroscopy. This analysis pushes the false probability below 1 percent and puts contraints on the planet's size and mass.,,,2014,Confirmed planets,,23.9802,transit,14/02/24,,Kepler-106 d
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,6.221614700,transit,16/05/10,,Kepler-1070 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,6.179984400,transit,16/05/10,,Kepler-1071 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,1.569066500,transit,16/05/10,,Kepler-1072 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,8.678885930,transit,16/05/10,,Kepler-1073 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,4.025822540,transit,16/05/10,,Kepler-1073 c
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,5.945665340,transit,16/05/10,,Kepler-1074 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,1.523728160,transit,16/05/10,,Kepler-1075 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,6.147279180,transit,16/05/10,,Kepler-1076 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,34.351187400,transit,16/05/10,,Kepler-1077 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,3.007252420,transit,16/05/10,,Kepler-1078 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,13.245031880,transit,16/05/10,,Kepler-1079 b
,"Kepler-107 e has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-107 e are still unknown, the object is highly unlikely to be a false positive.",,0.124,2014,Confirmed planets,0.02,14.749049,transit,14/02/26,,Kepler-107 e
,"Kepler-107 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-107 c are still unknown, the object is highly unlikely to be a false positive.",,0.0597,2014,Confirmed planets,0.02,4.901425,transit,14/02/26,,Kepler-107 c
,"Kepler-107 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-107 b are still unknown, the object is highly unlikely to be a false positive.",,0.0448,2014,Confirmed planets,0.02,3.179997,transit,14/02/26,,Kepler-107 b
,"Kepler-107 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-107 d are still unknown, the object is highly unlikely to be a false positive.",,0.0825,2014,Confirmed planets,0.14,7.958203,transit,14/02/26,,Kepler-107 d
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,77.254839600,transit,16/05/10,,Kepler-1080 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,3.856918550,transit,16/05/10,,Kepler-1081 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,1.543206600,transit,16/05/10,,Kepler-1082 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,33.417799300,transit,16/05/10,,Kepler-1083 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.053336790,transit,16/05/10,,Kepler-1084 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,219.321752800,transit,16/05/10,,Kepler-1085 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,18.784257280,transit,16/05/10,,Kepler-1086 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,161.516334500,transit,16/05/10,,Kepler-1086 c
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,0.693842850,transit,16/05/10,,Kepler-1087 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,23.127486440,transit,16/05/10,,Kepler-1088 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,5.132485620,transit,16/05/10,,Kepler-1089 b
0.308,"Kepler-108 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-108 b are still unknown, the object is highly unlikely to be a false positive. The planets were determined to be in orbits with high mutual inclination, orbiting the fainter star of the Kepler-108 binary by Mills & Fabrycky (2016).",,,2014,Confirmed planets,0.13,49.18351,transit,17/11/27,-154,Kepler-108 b
0.17,"Kepler-108 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-108 c are still unknown, the object is highly unlikely to be a false positive. The planets were determined to be in orbits with high mutual inclination, orbiting the fainter star of the Kepler-108 binary by Mills & Fabrycky (2016).",,,2014,Confirmed planets,0.14,190.339,transit,17/11/27,-60,Kepler-108 c
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,198.680179000,transit,16/05/10,,Kepler-1090 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,1.434741560,transit,16/05/10,,Kepler-1091 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,58.601792500,transit,16/05/10,,Kepler-1092 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,25.082462600,transit,16/05/10,,Kepler-1093 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,89.722292000,transit,16/05/10,,Kepler-1093 c
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,78.100023100,transit,16/05/10,,Kepler-1094 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,4.271030910,transit,16/05/10,,Kepler-1095 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.892217510,transit,16/05/10,,Kepler-1096 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,187.747029000,transit,16/05/10,,Kepler-1097 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.543072860,transit,16/05/10,,Kepler-1098 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.168452590,transit,16/05/10,,Kepler-1099 b
,This planet has been discovered by the Kepler spacecraft. It was confirmed using a combination of high resolution imaging and spectroscopy and Doppler spectroscopy. This analysis pushes the false probability below 1 percent and puts contraints on the planet's size and mass.,,0.069,2014,Confirmed planets,,6.48163,transit,14/02/24,,Kepler-109 b
,This planet has been discovered by the Kepler spacecraft. It was confirmed using a combination of high resolution imaging and spectroscopy and Doppler spectroscopy. This analysis pushes the false probability below 1 percent and puts contraints on the planet's size and mass.,,0.152,2014,Confirmed planets,0.03,21.2227,transit,14/02/24,,Kepler-109 c
0.01019,Kepler-10b was the first rocky planet discovered by the Kepler mission. It orbits extremely close to the star and may have a magma ocean on its day side.,,0.01685,2011,Confirmed planets,0,0.8374907,transit,17/11/29,,Kepler-10 b
0.02319,"Kepler-10c is a transiting sub-Neptune planet. Initial mass measurements suggested the planet had a largely rocky composition but subsequent measurements decreased the inferred density, indicating the planet is volatile-rich like other planets of similar radius.",,0.2410,2011,Confirmed planets,0,45.294301,transit,17/11/29,,Kepler-10 c
0.01856,KOI-72.X is an unconfirmed third planet in the Kepler-10 system inferred from transit timing variations of Kepler-10c.,,,2016,Controversial,,102,timing,17/11/29,,KOI-72.X
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,6.422000580,transit,16/05/10,,Kepler-1100 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,81.315105900,transit,16/05/10,,Kepler-1101 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,51.328562300,transit,16/05/10,,Kepler-1102 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,19.791919780,transit,16/05/10,,Kepler-1103 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,5.037280150,transit,16/05/10,,Kepler-1104 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,4.421572180,transit,16/05/10,,Kepler-1105 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,1.252752170,transit,16/05/10,,Kepler-1106 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,0.571038520,transit,16/05/10,,Kepler-1107 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,4.510057480,transit,16/05/10,,Kepler-1108 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,37.646738400,transit,16/05/10,,Kepler-1109 b
,"Kepler-110 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-110 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,12.691112,transit,14/02/26,,Kepler-110 b
,"Kepler-110 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-110 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,31.719775,transit,14/02/26,,Kepler-110 c
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,9.693120320,transit,16/05/10,,Kepler-1110 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,8.796178630,transit,16/05/10,,Kepler-1111 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,14.362679390,transit,16/05/10,,Kepler-1112 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,42.300495400,transit,16/05/10,,Kepler-1113 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,14.974356940,transit,16/05/10,,Kepler-1114 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,23.554072500,transit,16/05/10,,Kepler-1115 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,41.697782700,transit,16/05/10,,Kepler-1116 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,4.790284590,transit,16/05/10,,Kepler-1117 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,38.671507500,transit,16/05/10,,Kepler-1118 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,8.326515300,transit,16/05/10,,Kepler-1119 b
,"Kepler-111 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-111 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,224.784608,transit,14/02/26,,Kepler-111 c
,"Kepler-111 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-111 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,3.341815,transit,14/02/26,,Kepler-111 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.949029050,transit,16/05/10,,Kepler-1120 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,13.151410810,transit,16/05/10,,Kepler-1121 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,42.191735700,transit,16/05/10,,Kepler-1122 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,4.339464540,transit,16/05/10,,Kepler-1123 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.852348970,transit,16/05/10,,Kepler-1124 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,17.670064200,transit,16/05/10,,Kepler-1125 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,108.593329000,transit,16/05/10,,Kepler-1126 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,5.123303470,transit,16/05/10,,Kepler-1127 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,61.617816700,transit,16/05/10,,Kepler-1128 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,24.339780400,transit,16/05/10,,Kepler-1129 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,76.536958600,transit,16/05/10,,Kepler-1129 c
,"Kepler-112 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-112 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,8.408878,transit,14/02/26,,Kepler-112 b
,"Kepler-112 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-112 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,28.574263,transit,14/02/26,,Kepler-112 c
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,5.452981750,transit,16/05/10,,Kepler-1130 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,3.532324490,transit,16/05/10,,Kepler-1131 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,62.891622800,transit,16/05/10,,Kepler-1132 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,11.555623430,transit,16/05/10,,Kepler-1133 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,17.132639890,transit,16/05/10,,Kepler-1134 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,76.957857000,transit,16/05/10,,Kepler-1135 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.361724330,transit,16/05/10,,Kepler-1136 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,23.921079100,transit,16/05/10,,Kepler-1137 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,3.170600050,transit,16/05/10,,Kepler-1138 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,0.813166720,transit,16/05/10,,Kepler-1139 b
,This planet has been discovered by the Kepler spacecraft. It was confirmed using a combination of high resolution imaging and spectroscopy and Doppler spectroscopy. This analysis pushes the false probability below 1 percent and puts contraints on the planet's size and mass.,,,2014,Confirmed planets,,8.92507,transit,14/02/24,,Kepler-113 c
0.036805,This planet has been discovered by the Kepler spacecraft. It was confirmed using a combination of high resolution imaging and spectroscopy and Doppler spectroscopy. This analysis pushes the false probability below 1 percent and puts contraints on the planet's size and mass.,,,2014,Confirmed planets,,4.75400,transit,14/02/24,,Kepler-113 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,24.086270700,transit,16/05/10,,Kepler-1140 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.344511940,transit,16/05/10,,Kepler-1141 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,18.302724800,transit,16/05/10,,Kepler-1142 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.888904850,transit,16/05/10,,Kepler-1143 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,210.630591000,transit,16/05/10,,Kepler-1143 c
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,17.146473020,transit,16/05/10,,Kepler-1144 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,3.970767660,transit,16/05/10,,Kepler-1145 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.352265800,transit,16/05/10,,Kepler-1146 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,10.627849970,transit,16/05/10,,Kepler-1147 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,1.104463510,transit,16/05/10,,Kepler-1148 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,3.730898980,transit,16/05/10,,Kepler-1149 b
