declination,distance,name,rightascension,binaries,planets,stars
+20 26 30,122,HD 100655,11 35 04,0.0,1.0,1.0
-04 45 21,52.8,HD 100777,11 35 52,0.0,1.0,1.0
-60 30 41.482,38.87,HD 10180,01 37 53.5771,0.0,9.0,1.0
-58 00 24,30.49,HD 101930,11 43 30,0.0,1.0,1.0
-58 42 13,42,HD 102117,11 44 50,0.0,1.0,1.0
+02 49 17,28.98,HD 102195,11 45 42,0.0,1.0,1.0
+14 07 26,360,HD 102272,11 46 24,0.0,2.0,1.0
+03 28 27.457,229,HD 102329,11 46 46.6450,0.0,2.0,1.0
-40 30 01,9.24,HD 102365,11 46 31,0.0,1.0,1.0
-01 15 09,62.87,HD 102843,11 50 21,0.0,1.0,1.0
+57 38 27,126,HD 102956,11 51 23,0.0,1.0,1.0
-50 17 34,49.3,HD 103197,11 52 53,0.0,1.0,1.0
-02 46 44.2430,41.58,HD 103720,11 56 41.18534,0.0,1.0,1.0
-12 06 28,55,HD 103774,11 56 55,0.0,1.0,1.0
-23 55 26,26.52,HD 103949,11 58 12,0.0,1.0,1.0
-20 21 14,20.8,HD 104067,11 59 10,0.0,1.0,1.0
+02 42 15.77,135.9,HD 10442,01 41 53.142,0.0,1.0,1.0
+76 54 20.6475,97.1,HD 104985,12 05 15.11890,0.0,1.0,1.0
+10 02 29,37.44,HD 106252,12 13 29,0.0,1.0,1.0
-09 30 48.1691,84.9,HD 106270,12 13 37.28529,0.0,1.0,1.0
-00 23 36,109.00,HD 106315,12 13 53,0.0,2.0,1.0
-53 44 27,17.3,HD 10647,01 42 29,0.0,1.0,1.0
-07 15 26,35.2,HD 106515 A,12 15 07,0.0,1.0,1.0
-55 58 31.8890,92,HD 106906,12 17 53.19228,1.0,1.0,2.0
+20 04 59,32.56,HD 10697,01 44 55,0.0,1.0,1.0
-03 19 11,51.3,HD 107148,12 19 13,0.0,1.0,1.0
-64 01 19,38.57,HD 108147,12 25 46,0.0,1.0,1.0
-71 25 22.7053,49.4,HD 108341,12 27 31.38999,0.0,1.0,1.0
+21 56 54,139,HD 108863,12 30 19,0.0,1.0,1.0
+22 52 47,68.5,HD 108874,12 30 26,0.0,2.0,1.0
+74 29 22,65.6,HD 109246,12 32 07,0.0,1.0,1.0
-11 37 18,62,HD 109271,12 33 35,0.0,2.0,1.0
-40 48 43,59,HD 109749,12 37 16,1.0,1.0,2.0
-07 59 44,90,HD 110014,12 39 14,0.0,2.0,1.0
-68 25 30,29,HD 111232,12 48 51,0.0,1.0,1.0
+63 36 37,36.9,HD 113337,13 01 47,0.0,1.0,1.0
-52 26 34.5223,15.87,HD 113538,13 04 57.47691,0.0,2.0,1.0
-35 03 17,28.04,HD 114386,13 10 39,0.0,2.0,1.0
-37 48 10.8901,20.67,HD 114613,13 12 03.18502,0.0,1.0,1.0
-31 52 24,35,HD 114729,13 12 44,1.0,1.0,2.0
+17 31 01,39.46,HD 114762,13 12 19,1.0,1.0,2.0
-02 15 54.1335,20.50,HD 114783,13 12 43.78556,0.0,2.0,1.0
-19 30 25.11,51.7,HD 11506,01 52 50.535,0.0,2.0,1.0
+24 38 55.310,122.4,HD 116029,13 20 39.5420,0.0,2.0,1.0
-35 34 15.5929,33.05,HD 117207,13 29 21.11390,0.0,1.0,1.0
+73 09 08.58,231.5,HD 11755,01 58 50.087,0.0,1.0,1.0
-47 16 16,38,HD 117618,13 32 25,0.0,2.0,1.0
+53 43 42,88.6,HD 118203,13 34 02,0.0,1.0,1.0
-10 14 32.7336,32.85,HD 11964,01 57 09.60763,1.0,2.0,2.0
-67 38 50,66.5,HD 11977,01 54 56,0.0,1.0,1.0
+78 03 51,98,HD 120084,13 42 39,0.0,1.0,1.0
-56 02 24,44.37,HD 121504,13 57 17,0.0,1.0,1.0
-27 25 47,135,HD 122430,14 02 22,0.0,1.0,1.0
+20 52 52.733,53.02,HD 122562,14 02 21.1635,0.0,1.0,1.0
+02 48 57.074,48.7,HD 12484,02 02 26.7304,0.0,1.0,1.0
+38 58 01,154.33,HD 125390,14 18 09,0.0,1.0,1.0
-40 23 38,27.4,HD 125595,14 21 23,0.0,1.0,1.0
-17 28 53,52.82,HD 125612,14 20 54,0.0,3.0,1.0
+85 44 10.22,158.4,HD 12648,02 18 59.654,0.0,1.0,1.0
-51 55 59,38.1,HD 126525,14 27 33,0.0,1.0,1.0
-05 10 40.0074,72.6,HD 126614,14 26 48.28070,2.0,1.0,3.0
+25 24 51,37.89,HD 12661,02 04 34,0.0,2.0,1.0
+09 44 47,16.6,HD 128311,14 36 00,0.0,2.0,1.0
-25 48 09.2,26.03,HD 128356,14 37 04.89,0.0,1.0,1.0
-68 45 45,67.61,HD 129445,14 46 03,0.0,1.0,1.0
-00 16 53,30,HD 130322,14 47 33,0.0,1.0,1.0
-34 08 34.0412,98.0,HD 131399,14 54 25.30919,3.0,1.0,4.0
+18 14 07,110,HD 131496,14 53 23,0.0,1.0,1.0
-73 32 07.2,55.43,HD 131664,15 00 06.08,0.0,1.0,1.0
+32 18 59,185,HD 13189,02 09 40,0.0,1.0,1.0
+53 22 56,71,HD 132406,14 56 55,0.0,1.0,1.0
+44 02 35.33,96,HD 132563,14 58 21.519,2.0,1.0,3.0
-27 50 33.18,47.0,HD 133131,15 03 35.44,1.0,3.0,2.0
-61 25 20,24.2,HD 134060,15 10 45,0.0,2.0,1.0
-70 31 11,26.5,HD 134606,15 15 15,0.0,3.0,1.0
-25 18 33,22.2,HD 134987,15 13 28,0.0,2.0,1.0
-48 19 03,14.8,HD 136352,15 21 48,0.0,3.0,1.0
+41 44 00,98.2,HD 136418,15 19 07,0.0,1.0,1.0
-46 48 59,43.52,HD 13724,02 12 21,0.0,1.0,1.0
-80 12 17,38,HD 137388,15 35 40,0.0,1.0,1.0
-53 44 38,28.6,HD 13808,02 12 43,0.0,2.0,1.0
+65 35 39.6988,71.3,HD 13908,02 18 14.56056,0.0,2.0,1.0
+43 46 22.788,46.75,HD 13931,02 16 47.3790,0.0,1.0,1.0
+53 55 29.7129,118.2,HD 139357,15 35 16.19886,0.0,1.0,1.0
-66 21 32,79.75,HD 1397,00 17 47,0.0,1.0,1.0
+46 59 10.542,37.38,HD 141399,15 46 53.8133,0.0,4.0,1.0
-18 26 09,33.46,HD 141937,15 52 17,0.0,1.0,1.0
-84 13 53,35.87,HD 142022,16 10 15,1.0,1.0,2.0
+15 25 50,109,HD 142245,15 52 56,0.0,1.0,1.0
-60 12 00,34.2,HD 142415,15 57 40,0.0,1.0,1.0
-49 04 30,20.6,HD 142,00 06 19,1.0,2.0,2.0
+68 43 12.413,49.95,HD 143105,15 53 36.5585,0.0,1.0,1.0
-44 26 04,59.35,HD 143361,16 01 50,0.0,1.0,1.0
-27 04 41.4286,55.0,HD 145377,16 11 36.44543,0.0,1.0,1.0
+26 44 34,126,HD 145457,16 10 04,0.0,1.0,1.0
+13 14 22.1,229.4,HD 145934,16 13 09.9,0.0,1.0,1.0
-08 03 10.8024,23.25,HD 1461,00 18 41.86724,0.0,4.0,1.0
-61 41 20,42.96,HD 147018,16 23 00,0.0,2.0,1.0
+67 14 19.832,10.735,HD 147379,16 16 42.7462,1.0,1.0,2.0
-39 11 34,12.9,HD 147513,16 24 01,1.0,1.0,2.0
-33 32 47,104.93,HD 147873,16 25 45,0.0,2.0,1.0
-46 19 03,53.05,HD 148156,16 28 17,0.0,1.0,1.0
-13 23 59,59.3,HD 148427,16 28 28,0.0,1.0,1.0
+38 20 50,78.9,HD 149026,16 30 29,0.0,1.0,1.0
+02 05 05,63,HD 149143,16 32 51,0.0,1.0,1.0
+14 03 17,159,HD 1502,00 19 17,0.0,1.0,1.0
-02 51 26,29.6,HD 150433,16 41 08,0.0,1.0,1.0
+79 47 23,27.2,HD 150706,16 31 17,0.0,1.0,1.0
-46 19 51,85.17,HD 152079,16 53 30,0.0,1.0,1.0
+11 58 25,186,HD 152581,16 53 43,0.0,1.0,1.0
-27 38 07,44.87,HD 15337,02 27 28,0.0,2.0,1.0
-43 18 35.1765,49.5,HD 153950,17 04 30.86989,0.0,1.0,1.0
-28 34 58,17.8,HD 154088,17 04 28,0.0,1.0,1.0
+47 04 54.764,18.262,HD 154345,17 02 36.4037,0.0,1.0,1.0
-56 26 57,65.8,HD 154672,17 10 05,0.0,1.0,1.0
-56 40 50,64.2,HD 154857,17 11 15,0.0,2.0,1.0
-20 39 16.4509,75.1,HD 155233,17 11 04.36474,0.0,1.0,1.0
+33 21 21,43,HD 155358,17 09 35,0.0,2.0,1.0
+63 21 07.532,36.52,HD 156279,17 12 23.2036,0.0,2.0,1.0
-48 32 58,55.1,HD 156411,17 19 51,0.0,1.0,1.0
+29 13 38,24.5,HD 156668,17 17 40,0.0,1.0,1.0
-19 20 01.4991,49.0,HD 156846,17 20 34.31129,1.0,1.0,2.0
-19 36 58,31.9,HD 157172,17 22 35,0.0,1.0,1.0
+27 18 12,103,HD 158038,17 25 45,0.0,1.0,1.0
+52 47 26,27.07,HD 158259,17 25 24,0.0,5.0,1.0
+05 42 02.6391,69.2,HD 159243,17 33 21.54580,0.0,2.0,1.0
-43 08 44,52.7,HD 159868,17 39 00,0.0,2.0,1.0
+30 58 29.2948,84.6,HD 1605,00 20 31.51872,0.0,2.0,1.0
-03 33 38,35.9,HD 16141,02 35 19,1.0,1.0,2.0
+42 03 45.468,58.34,HD 16175,02 37 01.9111,0.0,1.0,1.0
-40 19 06,31.26,HD 162020,17 50 38,0.0,1.0,1.0
-21 57 21.9,122.0,HD 163296,17 56 21.29,0.0,2.0,1.0
+56 23 31,69,HD 163607,17 53 40,0.0,2.0,1.0
-34 34 41,25.5,HD 16417,02 36 59,0.0,1.0,1.0
+00 06 16,52,HD 164509,18 01 31,0.0,1.0,1.0
+29 34 18.9202,28.93,HD 164595,18 00 38.89431,0.0,1.0,1.0
-28 33 38,38,HD 164604,18 03 07,0.0,1.0,1.0
+26 18 46.805,22.04,HD 164922,18 02 30.8624,0.0,3.0,1.0
-29 55 02.1,64.98,HD 165155,18 05 57.35,0.0,1.0,1.0
-19 55 52.4083,110.6,HD 1666,00 20 52.33959,0.0,1.0,1.0
-42 34 31,42.3,HD 166724,18 14 00,0.0,1.0,1.0
+54 17 11.5922,50.23,HD 167042,18 10 31.64008,0.0,1.0,1.0
-09 35 34,37.38,HD 168443,18 20 04,0.0,2.0,1.0
-11 55 21,43.12,HD 168746,18 21 49,0.0,1.0,1.0
-08 16 52,319,HD 1690,00 21 13,0.0,1.0,1.0
-29 49 00.7073,36.60,HD 169830,18 27 49.48353,0.0,2.0,1.0
+11 41 44,64.97,HD 170469,18 29 11,0.0,1.0,1.0
+49 39 11,109,HD 17092,02 46 22,0.0,1.0,1.0
+06 56 45,90,HD 171028,18 32 15,0.0,1.0,1.0
-28 04 20,50.28,HD 171238,18 34 44,0.0,1.0,1.0
+71 45 12,78.24,HD 17156,02 49 44,0.0,1.0,1.0
+36 33 24,135,HD 173416,18 43 36,0.0,1.0,1.0
-69 56 39,67.02,HD 175167,19 00 01,0.0,1.0,1.0
+43 42 48.496,272.0,HD 175370,18 52 59.7212,0.0,1.0,1.0
+04 15 55,128,HD 175541,18 55 41,0.0,1.0,1.0
-66 11 33.65,45.27,HD 175607,19 01 05.49,0.0,2.0,1.0
+32 54 04.5723,14.872,HD 176051,18 57 01.60985,1.0,1.0,2.0
+25 55 14.3797,59.0,HD 177830,19 05 20.77341,1.0,2.0,2.0
+34 35 59,46.73,HD 178911,19 09 03,2.0,1.0,3.0
-02 38 18,63.69,HD 179079,19 11 10,0.0,1.0,1.0
-24 10 45,27,HD 179949,19 15 33,0.0,1.0,1.0
+31 51 37,132,HD 180314,19 14 50,0.0,1.0,1.0
+05 10 08.038856129,5.9116,HD 180617,19 16 55.2565250393,1.0,2.0,2.0
-23 33 29,110,HD 180902,19 19 18,0.0,1.0,1.0
-09 19 25,47.81,HD 181234,19 20 00,0.0,1.0,1.0
-23 37 10,110.6,HD 181342,19 21 04,0.0,1.0,1.0
-66 28 08,26.15,HD 181433,19 25 10,0.0,3.0,1.0
-32 55 09,56,HD 181720,19 22 53,0.0,1.0,1.0
+08 21 29.003,54.02,HD 183263,19 28 24.5718,0.0,2.0,1.0
+28 29 59.5055,50.28,HD 185269,19 37 11.74092,2.0,1.0,3.0
+31 13 09,137,HD 185603,19 38 39,0.0,1.0,1.0
-37 46 50,44.98,HD 187085,19 49 33,0.0,1.0,1.0
+34 25 10.2810,48.3,HD 187123,19 46 58.11299,0.0,2.0,1.0
-20 48 09.38,135,HD 18742,03 00 10.656,0.0,1.0,1.0
+28 06 01,52.6,HD 188015,19 52 04,1.0,1.0,2.0
-67 19 15,17.7,HD 189567,20 05 33,0.0,1.0,1.0
+22 42 39,19.3,HD 189733,20 00 43,1.0,1.0,2.0
-35 32 19,54.2,HD 190647,20 07 20,0.0,1.0,1.0
-64 37 14,103,HD 190984,20 11 31,0.0,1.0,1.0
+52 16 34.802,65.70,HD 191806,20 09 28.3096,0.0,1.0,1.0
+66 51 02,53.48,HD 191939,20 08 06,0.0,3.0,1.0
-00 52 01,19.9,HD 192263,20 14 00,0.0,1.0,1.0
+04 34 50.8537,65.6,HD 192699,20 16 06.00508,0.0,1.0,1.0
+18 46 12,37.36,HD 195019,20 28 17,1.0,1.0,2.0
+39 56 20,205.7,HD 195689,20 31 26,0.0,1.0,1.0
-60 38 04,46.93,HD 196050,20 37 51,2.0,1.0,3.0
-75 21 03,44.3,HD 196067,20 41 44,0.0,1.0,1.0
+11 14 58,33,HD 196885,20 39 51,1.0,1.0,2.0
+42 14 54.7845,32.3,HD 197037,20 39 32.96014,1.0,1.0,2.0
-01 11 45,22.38,HD 19994,03 12 46,1.0,1.0,2.0
-72 19 19,43.8,HD 20003,03 07 38,0.0,2.0,1.0
+03 48 11.2280,68.4,HD 200964,21 06 39.84239,0.0,2.0,1.0
-20 47 21,46.34,HD 202206,21 14 57,0.0,2.0,1.0
+31 07 37,26.12,HD 20367,03 17 40,0.0,1.0,1.0
-56 39 00,89.8,HD 2039,00 24 20,0.0,1.0,1.0
-21 43 34.5199,47.4,HD 204313,21 28 12.20709,0.0,3.0,1.0
-20 57 27,27,HD 204941,21 32 24,0.0,1.0,1.0
-31 44 15,90.3,HD 205739,21 38 08,0.0,1.0,1.0
-50 05 37,75.40,HD 206255,21 42 22,0.0,1.0,1.0
-07 24 30,194,HD 206610,21 43 25,0.0,1.0,1.0
-28 51 14.6651,35.49,HD 20782,03 20 03.57791,1.0,3.0,2.0
-26 01 35.6,54.4,HD 207832,21 52 36.28,0.0,2.0,1.0
-43 30 10,6.06,HD 20794,03 19 55,0.0,3.0,1.0
-37 45 49,45,HD 208487,21 57 19,0.0,1.0,1.0
+21 14 23,320.2,HD 208527,21 56 24,0.0,1.0,1.0
-33 43 48.3916,46.2,HD 20868,03 20 42.69404,0.0,1.0,1.0
+18 53 04,47,HD 209458,22 03 10,0.0,1.0,1.0
-41 13 30,42.25,HD 210193,22 09 35,0.0,1.0,1.0
-07 32 32,21.29,HD 210277,22 09 29,0.0,1.0,1.0
+16 02 25.9903,54.9,HD 210702,22 11 51.33086,0.0,1.0,1.0
-54 33 38,13.00,HD 211970,22 22 16,0.0,1.0,1.0
-77 43 04,52.7,HD 212301,22 27 30,0.0,1.0,1.0
-17 15 49,131,HD 212771,22 27 03,0.0,1.0,1.0
-49 25 59,40.75,HD 213240,22 31 00,1.0,1.0,2.0
-59 51 52,47.97,HD 213885,22 35 56,0.0,2.0,1.0
-30 37 04,29.16,HD 21411,03 26 11,0.0,1.0,1.0
+31 47 15.341,94.43,HD 214823,22 40 19.8703,0.0,1.0,1.0
-06 24 03,21.5,HD 215152,22 43 21,0.0,2.0,1.0
-48 58 04,38,HD 215456,22 46 08,0.0,2.0,1.0
-56 35 58,44,HD 215497,22 46 37,0.0,2.0,1.0
-48 35 53,33.3,HD 216435,22 53 37,0.0,1.0,1.0
-70 04 25,26.5,HD 216437,22 54 39,0.0,1.0,1.0
+44 28 39.862,380.3,HD 216536,22 53 03.9725,0.0,1.0,1.0
-26 39 31,38,HD 216770,22 55 53,0.0,1.0,1.0
-58 19 25,32.4,HD 21693,03 27 12,0.0,2.0,1.0
-02 23 43.379,20.00,HD 217107,22 58 15.5409,0.0,2.0,1.0
-00 25 46.66,54.9,HD 217786,23 03 08.205,1.0,1.0,2.0
-02 15 38.6775,28.55,HD 218566,23 09 10.72771,0.0,1.0,1.0
-62 42 00,29,HD 219077,23 14 07,0.0,1.0,1.0
+57 10 06.0823,6.546,HD 219134,23 13 16.97632,0.0,7.0,1.0
+56 43 49.154,166,HD 219415,23 14 53.8203,0.0,1.0,1.0
+18 38 44.617,71.4,HD 219828,23 18 46.7340,0.0,2.0,1.0
+61 58 12,290.2,HD 220074,23 20 14,0.0,1.0,1.0
+16 37 57,64.53,HD 220197,23 21 58,0.0,1.0,1.0
-20 36 58,44.6,HD 220689,23 25 53,0.0,1.0,1.0
+08 38 38,49,HD 220773,23 26 27,0.0,1.0,1.0
+56 53 11.513,65.06,HD 220842,23 26 36.9880,0.0,1.0,1.0
-58 12 35,52.9,HD 221287,23 31 20,0.0,1.0,1.0
-21 48 05,95.08,HD 221416,23 32 08,0.0,1.0,1.0
-77 23 07,31.17,HD 221420,23 33 20,0.0,1.0,1.0
+63 09 19.734,55.55,HD 221585,23 32 54.0465,0.0,1.0,1.0
-70 05 48,83.5,HD 222076,23 38 08,0.0,1.0,1.0
+48 59 47,49.1,HD 222155,23 38 00,0.0,1.0,1.0
-05 59 08,42,HD 222582,23 41 51,1.0,1.0,2.0
-61 24 48,77.76,HD 224538,23 58 52,0.0,1.0,1.0
-22 25 41,94,HD 224693,23 59 54,0.0,1.0,1.0
+31 49 35,31.79,HD 22781,03 40 50,0.0,1.0,1.0
-52 54 57,34.8,HD 23079,03 39 43,0.0,1.0,1.0
-60 04 40,89.1,HD 23127,03 39 24,0.0,1.0,1.0
+16 28 27,108.4,HD 231701,19 32 04,0.0,1.0,1.0
+53 34 05.623,868.7,HD 233604,09 09 48.8205,0.0,1.0,1.0
+50 22 33,58.84,HD 233832,11 26 05,0.0,1.0,1.0
+40 31 50,52,HD 23596,03 48 00,0.0,1.0,1.0
+57 01 46.035,143,HD 240210,23 10 29.2303,0.0,1.0,1.0
+58 02 35.6654,958.1,HD 240237,23 15 42.22361,0.0,1.0,1.0
+17 28 34.928,45.85,HD 24040,03 50 22.9677,0.0,1.0,1.0
+74 04 48.12,264.4,HD 24064,03 56 36.297,0.0,1.0,1.0
-70 01 27,54.99,HD 24085,03 45 02,0.0,1.0,1.0
-20 16 04,37.47,HD 25015,03 57 44,0.0,1.0,1.0
-65 11 12,55,HD 25171,03 55 49,0.0,1.0,1.0
-05 54 37.7582,53.71,HD 2638,00 29 16.10949,2.0,1.0,3.0
-76 18 15,197.98,HD 2685,00 29 19,0.0,1.0,1.0
-07 39 10.3404,4.98,HD 26965,04 15 16.31963,2.0,1.0,3.0
-59 18 07,18.1,HD 27442,04 16 29,1.0,1.0,2.0
-41 57 37,45.5,HD 27631,04 19 45,0.0,1.0,1.0
-59 24 39,42.37,HD 27894,04 20 47,0.0,1.0,1.0
-10 33 02,39.4,HD 28185,04 26 26,0.0,1.0,1.0
-50 37 20,56.2,HD 28254,04 24 51,0.0,1.0,1.0
+15 20 06.107,44.70,HD 285507,04 07 01.2257,0.0,1.0,1.0
+04 34 48,227,HD 28678,04 31 28,0.0,1.0,1.0
+60 40 34,30.6,HD 29021,04 37 52,0.0,1.0,1.0
-02 16 39,54.9,HD 290327,05 23 22,0.0,1.0,1.0
+54 53 41,115,HD 2952,00 33 10,0.0,1.0,1.0
-58 01 14,55,HD 30177,04 41 54,0.0,1.0,1.0
-05 40 27,26.5,HD 30562,04 48 36,0.0,1.0,1.0
-28 25 09.4699,57.1,HD 30669,04 48 28.48561,0.0,1.0,1.0
-24 21 36,118,HD 30856,04 50 14,0.0,1.0,1.0
+12 21 07.9133,50.3,HD 31253,04 54 43.65327,0.0,1.0,1.0
-23 14 31,38.6,HD 31527,04 55 38,0.0,3.0,1.0
+69 38 21.8510,120.6,HD 32518,05 09 36.71904,0.0,1.0,1.0
+26 19 40.6623,36.39,HD 32963,05 07 55.76384,0.0,1.0,1.0
-49 57 48,50.2,HD 330075,15 49 37,0.0,1.0,1.0
-13 59 11.337,116.0,HD 33142,05 07 35.5414,0.0,2.0,1.0
+33 44 40,80.85,HD 332231,20 26 58,0.0,1.0,1.0
-26 47 50,86,HD 33283,05 08 01,0.0,1.0,1.0
+79 13 52,20.98,HD 33564,05 22 33,0.0,1.0,1.0
-14 57 04.0084,100.9,HD 33844,05 12 36.10097,0.0,2.0,1.0
+07 21 12.053,45.37,HD 34445,05 17 40.9804,0.0,6.0,1.0
+64 19 07.589,70.9,HD 35759,05 31 33.3492,0.0,1.0,1.0
+21 15 01,11,HD 3651,00 39 21,0.0,2.0,1.0
+20 43 50,33,HD 37124,05 37 02,0.0,3.0,1.0
+06 03 38.073,46.34,HD 37605,05 40 01.7282,0.0,2.0,1.0
-73 41 58,37.7,HD 38283,05 37 02,0.0,1.0,1.0
+01 10 05,39.28,HD 38529,05 46 34,1.0,2.0,2.0
-08 19 40,99.4,HD 38801,05 47 59,0.0,1.0,1.0
-04 05 41,15.2,HD 38858,05 48 35,0.0,1.0,1.0
-80 28 08.831347245,18.27,HD 39091,05 37 09.8851202601,0.0,2.0,1.0
-70 08 37,25.9,HD 39194,05 44 32,0.0,3.0,1.0
+22 04 19.749,105.2,HD 39392,05 53 18.9952,0.0,1.0,1.0
-19 42 16,23.28,HD 39855,05 54 30,0.0,1.0,1.0
-60 01 24.4977,12.995,HD 40307,05 54 04.23991,0.0,6.0,1.0
+44 15 37,33.3,HD 40979,06 04 29,2.0,1.0,3.0
-48 14 23,43.03,HD 41004,05 59 50,2.0,1.0,3.0
-37 58 57.473,41.70,HD 4113,00 43 12.5958,2.0,1.0,3.0
-56 09 43,52.38,HD 41248,06 00 33,0.0,2.0,1.0
+34 08 07,37.1,HD 42012,06 09 57,0.0,1.0,1.0
+20 26 56.137,78.92,HD 4203,00 44 41.2002,0.0,2.0,1.0
-26 30 56,33.9,HD 4208,00 44 26,0.0,1.0,1.0
+06 46 59.057,24.36,HD 42618,06 12 00.5669,0.0,1.0,1.0
-65 38 58,21.9,HD 4308,00 44 39,0.0,1.0,1.0
+07 50 42,137,HD 4313,00 45 40,0.0,1.0,1.0
-29 53 50,54.9,HD 43197,06 13 36,0.0,1.0,1.0
+41 05 32,93.2,HD 43691,06 19 35,0.0,1.0,1.0
-10 43 30,50.43,HD 44219,06 20 14,0.0,1.0,1.0
-28 46 48,21.9,HD 45184,06 24 44,0.0,1.0,1.0
+38 57 46,49,HD 45350,06 28 45,0.0,1.0,1.0
-31 28 51,32.6,HD 45364,06 25 38,0.0,2.0,1.0
+10 56 02,36,HD 45652,06 29 13,0.0,1.0,1.0
+05 27 46,33.4,HD 46375,06 33 12,1.0,1.0,2.0
-27 37 20,37.84,HD 47186,06 36 09,0.0,2.0,1.0
-24 08 12,56.5,HD 4732,00 49 13,0.0,2.0,1.0
-12 59 06,84.56,HD 47366,06 37 41,0.0,2.0,1.0
-32 20 23,121.36,HD 47536,06 37 47,0.0,2.0,1.0
-48 32 31,87.4,HD 48265,06 40 02,0.0,1.0,1.0
+40 52 03,40.7,HD 49674,06 51 30,0.0,1.0,1.0
-33 54 56.019,46.02,HD 50499,06 52 02.0242,0.0,1.0,1.0
+24 14 44,31.03,HD 50554,06 54 42,0.0,1.0,1.0
-55 15 34,34.8,HD 51608,06 54 51,0.0,2.0,1.0
-05 22 01,28.1,HD 52265,07 00 18,0.0,1.0,1.0
+00 47 22.40,114,HD 5319,00 55 01.400,0.0,2.0,1.0
+34 59 07.901,222,HD 5583,00 57 56.7154,0.0,1.0,1.0
+33 57 03.1843,56.4,HD 5608,00 58 14.21893,0.0,1.0,1.0
-50 16 04.1606,53.6,HD 564,00 09 52.82123,0.0,1.0,1.0
+20 17 32.953,251,HD 5891,01 00 33.1924,0.0,1.0,1.0
+17 05 09.7702,96.9,HD 59686,07 31 48.39602,1.0,1.0,2.0
-22 17 46,25.7,HD 60532,07 34 03,0.0,2.0,1.0
+28 01 34,10.34,HD 62509,07 45 18,0.0,1.0,1.0
-78 16 44,35.8,HD 63454,07 39 21,0.0,1.0,1.0
-54 15 51,32.6,HD 63765,07 47 50,0.0,1.0,1.0
-11 01 59,31.55,HD 64114,07 51 56,0.0,1.0,1.0
-39 29 17.5822,41.4,HD 6434,01 04 40.15077,0.0,1.0,1.0
-63 38 50,34.3,HD 65216,07 53 41,0.0,2.0,1.0
+02 20 04,80.9,HD 66141,08 02 16,0.0,1.0,1.0
-01 09 45.750,53.4,HD 66428,08 03 28.6672,0.0,1.0,1.0
+31 33 04.7381,88.8,HD 67087,08 07 39.75457,0.0,2.0,1.0
-08 14 01,55.9,HD 6718,01 07 49,0.0,1.0,1.0
-74 35 22,78.0,HD 68402,08 05 24,0.0,1.0,1.0
+61 27 38,58,HD 68988,08 18 22,0.0,1.0,1.0
-12 37 55,12.6,HD 69830,08 18 23,0.0,3.0,1.0
+01 51 34,45.7,HD 70573,08 22 50,0.0,1.0,1.0
-39 42 19,28.8,HD 70642,08 21 28,0.0,1.0,1.0
-66 11 17,36,HD 7199,01 10 47,0.0,1.0,1.0
-01 34 05.572,51.84,HD 72659,08 34 03.1902,0.0,1.0,1.0
-14 27 24.1,72.78,HD 72892,08 34 52.60,0.0,1.0,1.0
-30 02 15,36.5,HD 73256,08 36 23,0.0,1.0,1.0
-34 27 35.9219,54.2,HD 73267,08 36 17.77517,0.0,1.0,1.0
-41 19 08,99,HD 73526,08 37 16,0.0,2.0,1.0
+12 57 37.346,85.8,HD 73534,08 39 15.8032,0.0,1.0,1.0
+04 34 41.1473,64.4,HD 74156,08 42 25.12216,0.0,2.0,1.0
-05 02 50.5942,38.9,HD 7449,01 14 29.32198,1.0,2.0,2.0
-41 44 12,28.94,HD 75289,08 47 40,1.0,1.0,2.0
+13 14 00.37,68.7,HD 75784,08 52 23.941,0.0,1.0,1.0
+33 03 25,80.58,HD 75898,08 53 51,0.0,1.0,1.0
-66 48 03,59.7,HD 76700,08 53 55,0.0,1.0,1.0
-25 31 37,40.75,HD 77338,09 01 12,0.0,1.0,1.0
+76 42 37.0335,16.82,HD 7924,01 21 59.11491,0.0,3.0,1.0
+23 22 32,49,HD 79498,09 15 09,0.0,1.0,1.0
+50 36 13,58.4,HD 80606,09 22 37,1.0,1.0,2.0
+14 22 04,109.86,HD 80653,09 21 21,0.0,1.0,1.0
+20 21 52,32.56,HD 81040,09 23 47,0.0,1.0,1.0
+45 36 05.3344,85.8,HD 81688,09 28 39.98840,0.0,1.0,1.0
+81 19 35,268.97,HD 81817,09 37 05,0.0,1.0,1.0
+34 46 50.673,125,HD 82886,09 35 45.1827,0.0,1.0,1.0
-12 07 46,27.46,HD 82943,09 34 50,0.0,2.0,1.0
-26 53 35,30.71,HD 8326,01 22 08,0.0,1.0,1.0
-43 16 19,43.54,HD 83443,09 37 11,0.0,1.0,1.0
-41 16 11,52.5,HD 8535,01 23 37,0.0,1.0,1.0
-49 47 25,33.96,HD 85390,09 50 02,0.0,1.0,1.0
-43 30 10,11.15,HD 85512,09 51 07,0.0,1.0,1.0
+28 34 00,44.2,HD 8574,01 25 12,0.0,1.0,1.0
-03 48 30,91,HD 86081,09 56 06,0.0,1.0,1.0
-24 05 58,42.48,HD 86226,09 56 30,0.0,1.0,1.0
-15 53 42,72.6,HD 86264,09 56 58,0.0,1.0,1.0
+34 34 46,36.1,HD 8673,01 26 08,1.0,1.0,2.0
-17 19 58.890,169.0,HD 86950,10 01 37.6089,0.0,1.0,1.0
