temperature,magV,mass,spectraltype,magJ,radius,magB,magH,magK,metallicity,name,planets
5680.0,13.03,1.025,G3,11.561,1.103,13.4,11.206,11.104,0.12,HAT-P-28,1.0
6087.0,11.83,1.207,F8,10.648,1.224,12.30,10.395,10.297,0.21,HAT-P-29,1.0
6290.0,8.69,1.36,F8,7.796,1.64,9.15,7.652,7.603,0.14,HAT-P-2,1.0
6304,10.35,1.242,F,9.442,1.215,10.95,9.220,9.151,0.13,HAT-P-30 A,1.0
3692,,0.519,,12.8724,,,12.3353,12.126,,HAT-P-30 B,0.0
6065.0,11.67,1.218,F,10.423,1.36,12.02,10.128,10.083,0.15,HAT-P-31,1.0
6207,11.44,1.176,F/G,10.251,1.387,11.79,10.024,9.990,-0.16,HAT-P-32 A,1.0
3551,,0.4243,,14.399,,,13.692,13.490,,HAT-P-32 B,0.0
6446,11.03,1.403,F,10.263,1.777,11.66,10.061,10.004,0.05,HAT-P-33 A,1.0
3776,,0.557,,14.400,,,13.530,13.419,,HAT-P-33 B,0.0
6442.0,10.40,1.392,F8,9.460,1.535,10.81,9.32,9.247,0.22,HAT-P-34,1.0
6096.0,11.59,1.236,F,11.358,1.435,12.84,11.072,11.030,0.11,HAT-P-35,1.0
5580.0,12.262,1.022,G,12.15,1.096,12.97,10.72,10.603,0.26,HAT-P-36,1.0
5500.0,13.23,0.929,G,13.23,0.877,13.1,11.71,11.667,0.03,HAT-P-37,1.0
5330.0,12.557,0.886,G,10.989,0.923,12.2,10.593,10.501,0.06,HAT-P-38,1.0
6430.0,12.422,1.404,F,11.424,1.625,,11.184,11.157,0.19,HAT-P-39,1.0
5224.0,11.86,0.917,K,9.936,0.799,12.53,9.542,9.448,0.27,HAT-P-3,1.0
6080.0,11.34,1.512,F,10.367,2.206,12.19,10.085,10.009,0.22,HAT-P-40,1.0
6390.0,11.36,1.418,F,10.006,1.683,11.65,9.777,9.728,0.21,HAT-P-41,1.0
5743,12.17,1.179,G,10.960,1.528,12.83,10.677,10.626,0.27,HAT-P-42,1.0
5645,13.36,1.048,F,12.146,1.104,14.12,11.809,11.764,0.23,HAT-P-43,1.0
5295,13.212,0.939,,11.729,0.979,13.2,11.360,11.275,0.33,HAT-P-44,2.0
6330,12.794,1.259,,10.730,1.319,13.7,10.350,10.201,0.07,HAT-P-45,1.0
6120,11.936,1.284,,10.330,1.396,12.9,9.972,9.924,0.3,HAT-P-46,2.0
6703.0,10.61,1.387,,,1.515,,,,0.0,HAT-P-47,1.0
5946.0,12.16,1.099,,,1.223,,,,0.02,HAT-P-48,1.0
6820,10.326,1.543,,9.55,1.833,10.675,9.399,9.346,0.074,HAT-P-49,1.0
5890.0,11.12,1.26,F,10.100,1.59,11.83,9.837,9.770,0.24,HAT-P-4,1.0
6280,11.762,1.273,,10.816,1.698,12.282,10.545,10.500,-0.180,HAT-P-50,1.0
5449,13.440,0.976,,12.039,1.041,14.261,11.654,11.614,0.270,HAT-P-51,1.0
5131,14.068,0.887,,12.195,0.893,15.183,11.745,11.621,0.280,HAT-P-52,1.0
5956,11.73,1.093,,12.468,1.209,,12.202,12.100,0.000,HAT-P-53,1.0
4390,13.505,0.645,,,0.617,14.832,,,-0.127,HAT-P-54,1.0
5808,13.207,1.013,,12.020,1.011,13.871,11.714,11.627,-0.030,HAT-P-55,1.0
6566,10.908,1.296,,10.068,1.428,11.287,9.881,9.830,,HAT-P-56,1.0
7500,10.465,1.47,A8V,9.670,1.500,10.916,9.497,9.433,-0.25,HAT-P-57 A,1.0
,,0.61,,,,,12.25,,,HAT-P-57 B,0.0
,,0.53,,,,,13.26,,,HAT-P-57 C,0.0
5960.0,11.95,1.163,G,10.844,1.137,12.92,10.522,10.481,0.24,HAT-P-5,1.0
5835.0,13.16,1.212,,,1.86,13.81,,,0.1,HAT-P-65,1.0
6002.0,12.99,1.255,,,1.881,13.55,,,0.035,HAT-P-66,1.0
6406.0,10.11,1.642,F,,1.546,,,,-0.08,HAT-P-67,1.0
7394.00,,1.65,,9.373,1.93,,9.293,9.280,-0.069,HAT-P-69,1.0
6570.0,10.47,1.29,F,9.558,1.46,10.88,9.440,9.313,-0.13,HAT-P-6,1.0
8450.00,,1.89,,9.068,1.86,,9.023,8.963,-0.059,HAT-P-70,1.0
6310,10.48,1.59,F6,9.555,2.02,10.97,9.344,9.334,0.32,HAT-P-7 A,1.0
3321,,0.215,,16.117,,,15.231,15.254,,HAT-P-7 B,0.0
6200.0,10.36,1.192,F,9.214,1.475,10.77,9.004,8.953,0.01,HAT-P-8,1.0
3216,,0.168,M5V,15.81,,,14.675,14.827,,HAT-P-8 B,0.0
3058,,0.131,M6V,16.37,,,15.356,15.400,,HAT-P-8 C,0.0
6350.0,12.34,1.28,F,11.274,1.32,12.35,11.04,11.015,0.12,HAT-P-9,1.0
5880,13.113,1.101,,11.866,1.105,13.820,11.568,11.511,0.15,HATS-10,1.0
6060.0,14.018,1.0,G0,,1.44,14.657,,,-0.39,HATS-11,1.0
6408.0,12.756,1.49,F,,2.21,12.258,,,-0.1,HATS-12,1.0
5523,13.887,0.962,,12.439,0.887,14.686,12.052,11.983,0.050,HATS-13,1.0
5408,13.79,0.97,,12.518,0.93,13.820,12.129,12.037,0.28,HATS-14,1.0
5311,14.774,0.871,G9V,13.261,0.922,15.797,12.806,12.724,0.000,HATS-15,1.0
5738,13.834,0.970,G3V,12.652,1.238,14.477,12.335,12.280,0.100,HATS-16,1.0
5846,12.39,1.131,G,11.082,1.091,13.105,10.837,10.698,0.300,HATS-17,1.0
5600.0,14.067,1.037,G,,1.02,14.870,,,0.28,HATS-18,1.0
5896.0,,1.303,G0,,1.74,,,,0.24,HATS-19,1.0
5870.0,12.053,0.986,G2V,10.924,1.038,12.740,10.634,10.58,-0.06,HATS-1,1.0
5406.0,,0.91,G9V,,0.892,,,,0.03,HATS-20,1.0
5695.0,,1.08,G4V,,1.021,,,,0.3,HATS-21,1.0
4803.0,13.46,0.759,,,0.689,14.50,,,0.0,HATS-22,1.0
5780.0,,1.121,,,1.199,,,,0.28,HATS-23,1.0
6346.0,,1.212,,,1.172,,,,0.0,HATS-24,1.0
5715.0,13.10,0.994,G,,1.107,13.81,,,0.02,HATS-25,1.0
6071.0,12.96,1.299,F,,2.04,13.55,,,-0.02,HATS-26,1.0
6438.0,,1.415,F,,1.74,,,,0.09,HATS-27,1.0
5498.0,,0.929,G,,0.922,,,,0.01,HATS-28,1.0
5670.0,,1.032,G,,1.073,,,,0.16,HATS-29,1.0
5227,13.62,0.88,K,11.906,0.89,14.53,11.475,11.386,0.15,HATS-2,1.0
5943.0,,1.093,,,1.061,,,,0.06,HATS-30,1.0
6050.0,13.11,1.275,,,1.87,,,,0.0,HATS-31,1.0
5700.0,14.38,1.099,,,1.097,15.11,,,0.39,HATS-32,1.0
5659.0,,1.062,,,1.022,,,,0.29,HATS-33,1.0
5380.0,,0.955,,,0.98,,,,0.25,HATS-34,1.0
6300.0,,1.317,,,1.433,,,,0.21,HATS-35,1.0
5970.0,14.39,1.135,G0V,,1.186,,,,0.13,HATS-36,1.0
6351,12.44,1.300,F,10.980,1.725,12.46,10.719,10.694,-0.157,HATS-3,1.0
5099.0,13.59,0.837,K,,0.812,,,,0.05,HATS-43,1.0
5080.0,14.43,0.86,K,,0.847,,,,0.32,HATS-44,1.0
6450.0,13.31,1.272,F,,1.315,,,,0.02,HATS-45,1.0
5495.0,,0.917,G,,0.853,,,,-0.06,HATS-46,1.0
4512.00,14.829,0.67,,12.653,0.66,,12.026,11.926,-0.113,HATS-47,1.0
4546.00,14.350,0.73,,12.160,0.72,,11.591,11.427,0.186,HATS-48 A,1.0
4405.00,14.998,0.71,,12.692,0.70,,12.105,11.938,0.208,HATS-49,1.0
5403,13.459,1.001,,12.032,0.925,14.267,11.697,11.612,0.43,HATS-4,1.0
5990,14.033,1.168,G,12.642,1.117,14.718,12.37,12.289,0.300,HATS-50,1.0
5758,12.471,1.187,G,11.241,1.44,13.190,10.955,10.867,0.300,HATS-51,1.0
6010,13.669,1.111,G,12.52,1.046,14.316,12.22,12.11,0.22,HATS-52,1.0
5644,13.790,0.964,G,12.458,1.101,14.548,12.088,12.046,0.010,HATS-53,1.0
5702,13.913,1.097,,12.611,1.317,14.729,12.273,12.170,0.396,HATS-54,1.0
6214,13.470,1.1955,,12.338,1.126,14.111,12.048,12.020,0.108,HATS-55,1.0
6536,11.48,1.573,,10.514,2.201,12.05,10.325,10.251,0.19,HATS-56,1.0
5587,11.59,1.026,,11.071,0.960,12.97,10.738,10.707,0.268,HATS-57,1.0
7175,11.552,1.461,,10.584,1.433,12.0510,10.358,10.289,,HATS-58 A,1.0
,,,,,,,,,,HATS-58 B,0.0
5670,13.951,1.038,,12.590,1.036,14.727,12.299,12.238,0.180,HATS-59,2.0
5304,12.63,0.936,,11.199,0.871,13.439,10.772,10.703,0.19,HATS-5,1.0
5688,12.641,1.097,,11.377,1.460,13.394,11.070,10.988,0.335,HATS-60,1.0
5542,13.233,1.076,,11.875,1.664,14.020,11.565,11.478,0.247,HATS-61,1.0
5416,14.015,0.896,,12.573,0.933,14.862,12.196,12.109,0.133,HATS-62,1.0
5627,13.8920,0.931,,12.631,1.070,14.595,12.290,12.216,0.081,HATS-63,1.0
6554,12.924,1.564,,11.968,2.113,13.416,11.780,11.705,0.220,HATS-64,1.0
6277,12.497,1.257,,11.405,1.310,13.067,11.145,11.095,0.199,HATS-65,1.0
6626,14.095,1.411,,13.083,1.841,14.630,12.827,12.761,-0.017,HATS-66,1.0
6594,13.095,1.435,,12.638,1.441,14.207,12.346,12.327,0.332,HATS-67,1.0
6147,12.281,1.351,,11.25,1.748,12.81,10.985,10.949,0.210,HATS-68,1.0
5137,13.945,0.892,,12.413,0.8785,14.916,11.968,11.875,0.377,HATS-69,1.0
3724,15.160,0.574,,12.046,0.570,16.664,11.397,11.224,0.2,HATS-6,1.0
3254,,0.569,,12.605,0.5161,16.94,11.972,11.727,0.237,HATS-71,1.0
4656.10,12.469,0.73,,10.424,0.72,,9.907,9.764,0.099,HATS-72,1.0
4985,13.340,0.849,K2,11.528,0.815,14.359,11.085,10.976,0.250,HATS-7,1.0
5679,14.03,1.056,,13.098,1.086,,12.779,12.661,0.210,HATS-8,1.0
5366,13.276,1.030,,11.885,1.503,14.080,11.558,11.479,0.340,HATS-9,1.0
10500,6.70,2.4,B9Vne,6.425,,6.71,5.96,5.83,,HD 100546,2.0
4861.0,6.45,2.4,G9III,5.039,9.3,7.468,4.470,4.129,0.15,HD 100655,1.0
5582.0,8.42,1,K0,7.152,,9.19,6.804,6.735,0.27,HD 100777,1.0
5911,7.32,1.06,G1V,6.246,1.109,7.95,5.934,5.868,0.08,HD 10180,9.0
5079.0,8.21,0.74,K1 V,6.645,,9.12,6.26,6.147,0.17,HD 101930,1.0
5672.0,7.47,1.03,G6V,6.224,1.27,8.20,5.949,5.833,0.3,HD 102117,1.0
5291.0,8.05,0.926,K0V,6.629,0.835,8.90,6.268,6.151,0.05,HD 102195,1.0
4908.0,8.71,1.9,K0,6.895,10.1,9.71,6.402,6.259,0.26,HD 102272,2.0
4830.0,7.89,1.30,K0,6.049,6.3,8.93,5.526,5.402,0.3,HD 102329,2.0
5650.0,4.89,0.85,G2V,3.931,,5.55,3.490,3.489,-0.28,HD 102365,1.0
5436.00,9.268,0.95,K0V,7.896,,,7.535,7.495,,HD 102843,1.0
5054.0,8,1.68,A,6.214,4.4,8.825,5.767,5.663,0.19,HD 102956,1.0
5303.0,9.41,0.9,K1V,7.916,,10.31,7.600,7.426,0.21,HD 103197,1.0
5017,9.49,0.794,K3 V,7.838,0.73,10.44,7.431,7.283,-0.02,HD 103720,1.0
6489,7.12,1.335,F5V,6.269,,7.61,6.112,6.000,0.28,HD 103774,1.0
4792.00,8.690,0.77,K3V,6.903,,,6.411,6.314,,HD 103949,1.0
4969.0,7.93,0.791,K2V,6.212,,8.897,5.754,5.614,-0.06,HD 104067,1.0
5034,7.84,1.56,K2IV,6.158,,8.77,5.729,5.590,0.11,HD 10442,1.0
4877,5.797,2.3,G9 III,4.11,11,6.819,3.55,3.27,-0.15,HD 104985,1.0
5754.0,7.36,0.96,G0,6.30,1.09,8.00,6.02,5.93,-0.078,HD 106252,1.0
5638,7.58,1.330,G5,6.249,2.5,8.319,5.964,5.862,0.08,HD 106270,1.0
6327.00,8.951,1.09,F5V,8.116,1.30,,7.962,7.853,-0.311,HD 106315,2.0
6039.0,5.52,1.11,F9V,4.79,1.1,6.05,4.40,4.34,0.0,HD 10647,1.0
,7.35,0.97,G5,6.585,1.62,8.79,6.22,6.151,0.03,HD 106515 A,1.0
,8.11,1.34,F5V,,,,,,,HD 106906 A,0.0
,8.11,1.37,F5V,,,,,,,HD 106906 B,0.0
5641.0,6.29,1.15,G5 IV,5.39,1.72,6.957,4.678,4.601,0.1,HD 10697,1.0
5797.0,8.01,1.12,G5,6.858,,8.72,6.604,6.474,0.314,HD 107148,1.0
6067.0,6.99,1.19,F8/G0 V,6.007,1.22,7.501,5.832,5.721,0.18,HD 108147,1.0
5122,9.36,0.843,K2 V,7.863,0.79,10.29,7.458,7.326,0.04,HD 108341,1.0
4956.0,7.89,1.85,K0,6.022,5.6,8.71,5.516,5.392,0.20,HD 108863,1.0
5407.0,8.76,1,G5,7.48,1.22,9.49,7.11,7.06,0.14,HD 108874,2.0
5844.0,8.77,1.01,G0V,7.570,1.02,9.42,7.296,7.216,0.1,HD 109246,1.0
5783,8.05,1.047,G5V,6.855,,8.71,6.555,6.495,0.10,HD 109271,2.0
5610.0,8.1,1.2,G3 IV,,,8.76,,,0.25,HD 109749 A,1.0
,,0.78,,,,,,,,HD 109749 B,0.0
4445.0,4.66,2.09,K2III,,20.9,5.904,,,0.14,HD 110014,2.0
5494.0,7.61,0.78,G8V,6.328,,8.29,5.975,5.898,-0.36,HD 111232,1.0
,6,1.4,F6V,5.187,1.5,6.397,5.053,5.005,0.07,HD 113337,1.0
4462,9.057,0.585,K9V,6.438,0.53,10.433,5.835,5.637,-0.24,HD 113538,2.0
4819.0,8.73,0.75,K3 V,6.968,0.76,9.80,6.497,6.351,,HD 114386,2.0
5729,4.85,1.364,G4IV,3.64,,5.55,3.346,3.27,0.19,HD 114613,1.0
,6.69,0.93,G3 V,5.559,1.46,7.31,5.29,5.136,-0.22,HD 114729 A,1.0
,,0.253,M,,,,,,,HD 114729 B,0.0
5934.0,7.3,0.84,F9V,6.14,1.24,7.85,5.89,5.81,-0.71,HD 114762 A,1.0
,,0.1,M6V,,,,,,,HD 114762 B,0.0
5105.0,7.57,0.853,K0,6.025,0.78,8.469,5.62,5.475,0.33,HD 114783,2.0
6058.0,7.51,1.19,G0V,6.508,1.33,8.11,6.265,6.168,0.31,HD 11506,2.0
4951,7.89,1.33,K1IV,6.144,4.6,8.89,5.650,5.534,0.18,HD 116029,2.0
5432,7.25,1.031,G7IV-V,6.034,1.09,7.98,5.749,5.65,0.27,HD 117207,1.0
4312.5,6.88,0.9,G5,4.667,27.3,8.11,3.931,3.76,-0.74,HD 11755,1.0
5861.0,7.18,1.05,G2V,6.098,1.19,7.77,5.843,5.737,0.04,HD 117618,2.0
5600.0,8.05,1.23,K0,6.861,,8.75,6.608,6.543,0.1,HD 118203,1.0
,6.42,1.080,G5,,2.18,7.25,,4.49,0.17,HD 11964 A,2.0
,11.112,0.67,M0.0Ve,8.413,,12.59,7.763,7.597,,HD 11964 B,0.0
4975.0,4.7,2.31,G5 III,3.046,13,5.614,2.594,2.486,-0.16,HD 11977,1.0
4892,5.910,2.4,G7III,4.091,9.12,6.901,3.599,3.572,0.09,HD 120084,1.0
6075.0,7.54,1.18,G2 V,6.557,,8.12,6.224,6.124,0.16,HD 121504,1.0
4300.0,5.48,1.68,K3III,3.080,22.9,6.827,2.373,2.261,-0.09,HD 122430,1.0
4958,7.69,1.13,G5,5.996,,8.70,5.617,5.510,0.31,HD 122562,1.0
5920,8.17,1.01,F8,7.074,,8.83,6.782,6.706,0.05,HD 12484,1.0
4850.00,8.206,1.36,G5,6.421,6.47,,5.979,5.875,,HD 125390,1.0
4908.0,9.03,0.756,K4V,7.097,,10.13,6.608,6.447,0.02,HD 125595,1.0
5897.0,8.31,1.1,G3V,,1.05,8.93,,,0.24,HD 125612,3.0
4835.8,6.98,1.2,G5,5.302,9.2,7.90,4.820,4.743,-0.57,HD 12648,1.0
5940.0,7.85,,G4V,6.634,,8.529,6.287,6.215,,HD 126525,1.0
5585,8.787,1.145,K0,7.470,1.09,9.662,7.160,7.060,0.56,HD 126614 A,1.0
,16.5,0.324,M V,,,,,,,HD 126614 B,0.0
,,0.16,M4-M5,12.116,,,,11.279,,HD 126614 C,0.0
5742.0,7.44,1.07,G6 V,6.18,1.12,8.16,5.90,5.86,0.29,HD 12661,2.0
4965.0,7.51,0.828,K0V,5.772,0.73,8.441,5.30,5.142,0.08,HD 128311,2.0
4875.0,8.26,0.65,K3V,,0.85,,,,0.17,HD 128356,1.0
5940.0,8.8,0.99,G8V,7.531,,9.57,7.243,7.167,0.25,HD 129445,1.0
5330.0,8.05,0.79,K0 V,6.712,0.83,8.82,6.315,6.234,-0.02,HD 130322,1.0
9300,,1.82,A1V,,,,,,,HD 131399 Aa1,0.0
,,0.51,,,,,,,,HD 131399 Aa2,0.0
5700,,0.96,G,,,,,8.5,,HD 131399 B,0.0
4400,,0.6,K,,,,,10.5,,HD 131399 C,0.0
4927.0,7.96,1.61,K2,6.032,4.3,8.828,5.546,5.437,0.25,HD 131496,1.0
5886,8.13,1.10,G3V,6.973,1.16,8.82,6.727,6.647,0.32,HD 131664,1.0
5150.0,7.57,4.5,K2 II,,50.39,9.04,,,,HD 13189,1.0
5885.0,8.45,1.09,G0V,7.250,,9.100,6.985,6.870,0.18,HD 132406,1.0
6168,8.966,1.081,,,,,,7.431,,HD 132563 Aa,0.0
,,0.49,,,,,,,,HD 132563 Ab,0.0
5985,9.47,1.010,G,7.73,,10.16,7.58,7.49,-0.19,HD 132563 B,1.0
5799.0,8.46,0.95,G2V,,,,,,-0.306,HD 133131 A,2.0
5805.0,8.413,0.93,G2,,,,,,-0.281,HD 133131 B,1.0
5940.0,6.29,,G0V,5.214,,6.91,5.022,4.836,,HD 134060,2.0
5940.0,6.85,,G6IV,5.591,,7.61,5.275,5.177,,HD 134606,3.0
5740.0,6.45,1.07,G5 V,5.268,1.25,7.168,5.121,4.882,0.25,HD 134987,2.0
5940.0,5.65,,G4V,4.308,,6.28,3.898,4.159,,HD 136352,3.0
5071.0,7.88,1.33,G5,,3.4,8.810,,,-0.07,HD 136418,1.0
5868.00,7.890,1.14,G3/G5V,6.728,1.07,,6.482,6.378,0.230,HD 13724,1.0
5240.0,8.71,0.86,K0/K1V,7.230,0.82,9.59,6.867,6.763,0.18,HD 137388,1.0
5150.0,8.38,,K2V,6.776,,9.232,6.383,6.250,,HD 13808,2.0
6255,7.51,1.29,F8V,6.497,1.67,8.04,6.251,6.210,0.01,HD 13908,2.0
5829,7.60,1.022,G0 V,6.452,1.23,8.237,6.234,6.139,0.03,HD 13931,1.0
4700,5.98,1.35,K4III,4.180,11.47,7.168,3.593,3.406,-0.13,HD 139357,1.0
5521.00,7.781,1.32,G5III/IV,6.442,2.34,,6.090,5.988,0.290,HD 1397,1.0
5600,7.20,1.07,K0,5.890,1.46,7.93,5.598,5.499,0.35,HD 141399,4.0
5925.0,7.25,1.1,G2/G3 V,6.127,1.06,7.87,5.866,5.764,0.11,HD 141937,1.0
5382.0,7.7,0.99,G9V,,0.705,8.47,,,0.19,HD 142022 A,1.0
,,0.60,K7V,,,,,,,HD 142022 B,0.0
4878.0,7.63,1.69,A,5.689,5.2,8.492,5.232,5.110,0.23,HD 142245,1.0
5834.0,7.34,1.09,G1 V,6.235,1.03,7.94,5.99,5.892,0.21,HD 142415,1.0
6249,5.7,1.15,G1 IV,,1.43,6.22,,,0.04,HD 142 A,2.0
,,0.59,G1 IV,,,,,,,HD 142 B,0.0
6380,6.75,1.51,F5,5.795,,7.27,5.628,5.519,0.15,HD 143105,1.0
5940.0,9.2,0.95,G0V,7.905,,9.93,7.572,7.488,0.29,HD 143361,1.0
6046,8.12,1.12,G3V,7.014,1.14,8.73,6.797,6.706,0.12,HD 145377,1.0
4757.0,6.57,1.9,K0,5.000,9.9,7.61,4.418,4.122,-0.14,HD 145457,1.0
,8.49,1.748,K0,6.758,5.38,9.54,6.234,6.145,,HD 145934,1.0
5765,6.46,1.02,G0V,5.329,1.095,7.14,5.041,4.897,0.19,HD 1461,4.0
5441.0,8.3,0.927,G9V,6.963,,9.07,6.640,6.571,0.1,HD 147018,2.0
4090,8.896,0.58,M0.0V,5.779,0.57,10.01,5.136,4.953,0.16,HD 147379,1.0
3516,10.615,0.40,M3.0Ve,6.908,0.39,12.20,6.300,6.066,0.10,EW Draconis,0.0
,5.37,0.92,G5V,4.41,1,5.973,4.03,3.93,-0.03,HD 147513 A,1.0
,,0.65,DA2,,,,,,,HD 147513 B,0.0
5972.0,,1.38,G1V,,2.29,,,,-0.03,HD 147873,2.0
6308.0,7.69,1.22,F8V,6.688,1.21,8.26,6.489,6.397,0.29,HD 148156,1.0
5052.0,6.89,1.45,K0IV,5.299,3.22,7.85,4.875,4.682,0.154,HD 148427,1.0
6147.0,8.14,1.3,G0IV,7.118,1.497,8.75,6.899,6.819,0.36,HD 149026,1.0
5730.0,7.9,1.1,G0 IV,,,8.56,,,0.26,HD 149143,1.0
5049.0,8.52,1.61,K0,6.681,4.5,9.290,6.234,6.120,0.09,HD 1502,1.0
5940.0,7.22,,G0,6.014,,7.861,5.715,5.610,,HD 150433,1.0
5741.0,7.03,0.94,G0,5.89,0.87,7.597,5.639,5.565,-0.13,HD 150706,1.0
5940.0,9.18,1.023,G6V,7.984,,9.91,7.656,7.634,0.16,HD 152079,1.0
5155.0,8.54,0.927,K0,6.673,2.8,9.251,6.244,6.173,-0.46,HD 152581,1.0
5125.00,9.088,0.90,K1V,7.553,0.86,,7.215,7.044,0.150,HD 15337,2.0
6076,7.39,1.12,F8V,6.313,1.34,7.90,6.078,6.006,-0.01,HD 153950,1.0
5150.0,6.58,,K0IV,5.225,,7.411,4.955,4.758,,HD 154088,1.0
5468,6.74,0.893,G8V,5.411,,7.50,5.098,5.003,-0.105,HD 154345,1.0
5714.0,8.22,1.06,G3IV,7.013,1.27,8.91,6.699,6.612,0.26,HD 154672,1.0
5508,7.25,1.718,G5V,,2.31,7.93,,,-0.31,HD 154857,2.0
4845,6.813,1.50,K1 III,5.071,5.03,7.836,4.728,4.493,0.10,HD 155233,1.0
5900.0,7.27,0.92,G0,6.158,,7.79,5.886,5.808,-0.51,HD 155358,2.0
5453.0,8.08,0.930,K0,6.677,,8.879,6.346,6.269,0.14,HD 156279,2.0
5900.0,6.67,1.25,F8IV/V,5.563,2.16,7.29,5.241,5.170,-0.12,HD 156411,1.0
4850.0,8.42,0.772,K3V,6.593,0.72,9.43,6.117,6.004,0.05,HD 156668,1.0
5969,6.506,1.35,G0,5.52,2.12,7.10,5.24,5.17,0.17,HD 156846 A,1.0
,14.1,0.59,M,,,,,,,HD 156846 B,0.0
5940.0,7.86,,G8.5V,6.534,,8.637,6.176,6.082,,HD 157172,1.0
4897.0,7.64,1.65,K0,5.758,4.8,8.515,5.258,5.156,0.28,HD 158038,1.0
,6.460,1.08,G0,5.269,1.21,,5.026,4.965,,HD 158259,5.0
6123,8.65,1.125,G0V,7.581,1.12,9.19,7.351,7.297,0.05,HD 159243,2.0
5395.0,7.24,1.09,G5V,5.941,,7.96,5.567,5.535,,HD 159868,2.0
4757,7.52,1.31,K1IV,5.850,3.8,8.55,5.375,5.272,0.21,HD 1605,2.0
5533.0,6.78,1.01,G5 IV,5.679,1,7.49,5.35,5.266,0.02,HD 16141 A,1.0
,,0.31,M2.5,9.27,,,10.062,8.77,,HD 16141 B,0.0
6022,7.291,1.34,G0,6.166,1.87,7.92,5.922,5.853,0.37,HD 16175,1.0
4830.0,9.18,0.75,K2 V,7.175,0.71,10.11,6.649,6.539,0.01,HD 162020,1.0
,6.85,2.3,A1V,,,6.93,,,,HD 163296,2.0
5543.0,8.15,1.09,G5IV,6.648,1.63,8.762,6.342,6.271,0.21,HD 163607,2.0
5936.0,5.78,1.18,G1V,4.60,,6.45,4.18,4.246,0.19,HD 16417,1.0
5922.0,8.24,1.13,G5V,6.938,1.06,8.723,6.665,6.586,0.21,HD 164509,1.0
5790,7.08,0.99,G2V,5.864,,7.72,5.539,5.482,-0.04,HD 164595,1.0
5150.0,9.7,0.8,K2V,7.784,,10.88,7.306,7.169,-0.18,HD 164604,1.0
5293,6.99,0.874,G9V,5.553,0.999,7.79,5.203,5.113,0.16,HD 164922,3.0
5426.0,9.36,1.02,G8V,,0.95,,,,0.09,HD 165155,1.0
6317,8.16,1.50,F7V,7.269,1.93,8.69,7.063,6.964,0.37,HD 1666,1.0
5150.0,9.31,0.81,K0IV,7.752,,10.20,7.414,7.246,-0.09,HD 166724,1.0
5020.0,5.97,1.72,K1 IV,3.933,4.30,6.89,3.557,3.550,0.05,HD 167042,1.0
5591.0,6.92,0.995,G5,5.641,1.51,7.62,5.325,5.211,0.04,HD 168443,2.0
5610.0,7.95,0.88,G5,6.679,1.12,8.66,6.329,6.253,-0.06,HD 168746,1.0
4393.0,9.17,1.09,K1III,6.877,16.7,10.515,6.229,6.018,-0.32,HD 1690,1.0
6300,5.902,1.410,F8 V,4.974,1.84,6.406,4.778,4.688,0.21,HD 169830,2.0
5810.0,8.21,1.14,G5IV,7.047,1.22,8.86,6.779,6.707,0.3,HD 170469,1.0
4650.0,7.73,2.3,K0III,5.530,,9.00,5.007,4.807,0.18,HD 17092,1.0
5663.0,8.31,0.99,G0,6.990,1.95,8.93,6.663,6.604,-0.49,HD 171028,1.0
5467.0,8.66,0.943,KOV,7.244,,9.41,6.868,6.831,0.17,HD 171238,1.0
6079.0,8.16,1.275,G0V,7.080,1.508,8.78,6.857,6.807,0.24,HD 17156,1.0
4683.0,6.06,2,G8,4.580,13.5,7.092,3.929,3.814,,HD 173416,1.0
5940.0,9.18,1.102,G5 IV/V,6.713,,8.78,6.381,6.288,0.19,HD 175167,1.0
4301.0,,1.02,K2 III,,23.5,,,,-0.52,HD 175370,1.0
5060.0,8.03,1.65,G8IV,6.387,3.85,8.90,5.952,5.829,-0.07,HD 175541,1.0
5392,8.61,0.71,G6V,7.280,0.70,9.31,6.928,6.881,-0.62,HD 175607,2.0
,5.277,1.07,F9V,,,5.83,,,,HD 176051 A,0.0
,7.84,0.71,K1V,,,8.894,,,,HD 176051 B,1.0
,7.177,1.47,K0IV,5.367,2.99,8.266,4.95,4.809,0.55,HD 177830 A,2.0
,,0.23,M3.5V,,,,11.6,11.2,,HD 177830 B,0.0
5650.0,7.98,1.07,G5,5.55,1.14,7.37,5.29,5.21,0.28,HD 178911 B,1.0
,,1.1,G1,,,,,,,HD 178911 Aa,0.0
,,0.79,K1,,,,,,,HD 178911 Ab,0.0
5724.0,7.95,1.087,G5IV,6.734,1.48,8.66,6.402,6.311,0.29,HD 179079,1.0
6260.0,6.25,1.28,F8 V,5.296,1.19,6.757,5.10,4.936,0.22,HD 179949,1.0
4917.0,6.61,2.6,K0,4.892,9.2,7.63,4.489,4.312,0.2,HD 180314,1.0
3557,9.115,0.45,M2.5V,5.583,0.453,10.63,4.929,4.673,0.00,HD 180617,1.0
,17.30,0.0779,M8V,9.908,,19.42,9.226,8.765,,VB 10,1.0
5030.0,7.78,1.52,K0III/IV,6.121,4.1,8.714,5.670,5.543,0.04,HD 180902,1.0
5386.00,8.590,1.01,G5,7.152,1.05,,6.871,6.689,0.320,HD 181234,1.0
